Model,Year,Category,Rating,Displacement,Engine type,Power,Bore x stroke,Fuel system,Fuel control,Ignition,Lubrication system,Cooling system,Gearbox,Transmission type,Clutch,Driveline,Frame type,Rake (fork angle),Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Front brakes,Diameter,Rear brakes,Dry weight,Power/weight ratio,Seat height,Ground clearance,Wheelbase,Fuel capacity,Color options,Starter,Comments,Torque,Compression,Valves per cylinder,Trail,Front tire,Rear tire,"Weight incl. oil, gas, etc",Overall length,Overall width,Factory warranty,Engine details,Fuel consumption,Greenhouse gases,Exhaust system,Wheels,Seat,Overall height,Oil capacity,Instruments,Reserve fuel capacity,Electrical,Light,Carrying capacity,Emission details,Top speed,Alternate seat height,Modifications compared to previous model,Max RPM,Engine oil,Brake fluid,Spark plugs,Idle speed,Chain size,Chain links,Sprockets,Tire pressure front,Tire pressure rear,0-100 km/h (0-62 mph),1/4 mile (0.4 km),Oil filter,Battery,Belt teeth,Belt width,Pulley teeth,Fork tube size,Coolant
KTM 1190 Adventure R,2015,Allround," 4.2  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",1195.0 ccm (72.92 cubic inches),"V2, four-stroke",147.5 HP (107.7  kW)),105.0 x 69.0 mm (4.1 x 2.7 inches),Injection,Double Overhead Cams/Twin Cam (DOHC),"Contactless, controlled, fully electronic ignition system with digital ignition timing adjustment",Forced oil lubrication with 3 rotor pumps,Liquid,6-speed,Chain   (final drive),PASC  anti-hopping clutch/ hydraulically operated,5/8  x  5/16  X Ring. Primary drive: 40:76.,"Tubular space frame made from chrome molybdenum steel, powder-coated",26.0°,WP  Suspension Up Side Down,220 mm (8.7 inches),WP  Suspension monoshock,220 mm (8.7 inches),Double disc. ABS. Four-piston calipers. Radially mounted. ,267 mm (10.5 inches),Single disc. ABS. Two-piston calipers. ,217.0 kg (478.4 pounds),0.6798 HP/kg,"890 mm (35.0 inches) If adjustable, lowest setting.",250 mm (9.8 inches),1580 mm (62.2 inches),23.00 litres (6.08 US gallons),Black/orange,Electric,Ride-by-wire. Traction control.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki Gladius 650 ABS,2015,Naked bike," 3.2  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",645.0 ccm (39.36 cubic inches),"V2, four-stroke",72.0 HP (52.6  kW)) @ 8400 RPM,81.0 x 62.5 mm (3.2 x 2.5 inches),Injection,Double Overhead Cams/Twin Cam (DOHC),Electronic ignition (Transistorized),Wet sump,Liquid,6-speed,Chain   (final drive),,Constant mesh,,25.0°,"Telescopic, coil spring, oil damped",125 mm (4.9 inches),"Link type, coil spring, oil damped, spring preload 7-step adjustable",130 mm (5.1 inches),Double disc. Two-piston calipers. ABS.,240 mm (9.4 inches),Single disc. Single-piston caliper. ABS.,,,"785 mm (30.9 inches) If adjustable, lowest setting.",135 mm (5.3 inches),1445 mm (56.9 inches),14.50 litres (3.83 US gallons),"Metallic Thunder Gray/Glass Sparkle Black/Red, Pearl Vigor Blue/Pearl Glacier White, Metallic Mat Black/Glass Sparkle Black",Electric,,64.0 Nm (6.5 kgf-m or 47.2 ft.lbs) @ 6400 RPM,11.5:1,2,104 mm (4.1 inches),120/70-ZR17 ,160/60-ZR17 ,205.0 kg (451.9 pounds),2130 mm (83.9 inches),760 mm (29.9 inches),12 month unlimited mileage limited warranty.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Bonneville Spirit,2015,Classic," 3.5  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",865.0 ccm (52.78 cubic inches),"Twin, four-stroke",68.0 HP (49.6  kW)) @ 7500 RPM,90.0 x 68.0 mm (3.5 x 2.7 inches),Injection. Multipoint sequential electronic fuel injection with SAI,Double Overhead Cams/Twin Cam (DOHC),Digital-inductive type via engine management system,,Air,5-speed,Chain   (final drive),Wet. multi-plate,X ring chain,Tubular steel cradle,27.0°,Kayaba 41mm forks,120 mm (4.7 inches),"Kayaba chromed spring twin shocks with adjustable preload, ",100 mm (3.9 inches),Single disc. Nissin 2-piston floating caliper,255 mm (10.0 inches),Single disc. Nissin 2-piston floating caliper,209.0 kg (460.8 pounds),0.3254 HP/kg,"740 mm (29.1 inches) If adjustable, lowest setting.",,1490 mm (58.7 inches),16.00 litres (4.23 US gallons),"Blue/white
",Electric,Special Edition styled to celebrate the spirit of customisation.,68.0 Nm (6.9 kgf-m or 50.2 ft.lbs) @ 5800 RPM,9.2:1,,106 mm (4.2 inches),100/70-R17 ,130/80-R17 ,225.0 kg (496.0 pounds),2115 mm (83.3 inches),790 mm (31.1 inches),,360 degree firing interval,5.47 litres/100 km (18.3 km/l or 43.00 mpg),126.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,Stainless steel headers. twin chromed upswept silencers,"Cast aluminium alloy, 7-spoke",Traditional King and Queen seat,1130 mm (44.5 inches),4.50 litres (4.76 US quarts),"Analogue speedometer with odometer, clock and trip information ",,,,,,,,,,,,,,,,,,,,,,,,,,,
Hero HF Dawn,2015,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,97.2 ccm (5.93 cubic inches),"Single cylinder, four-stroke",8.4 HP (6.1  kW)) @ 8000 RPM,50.0 x 49.5 mm (2.0 x 1.9 inches),Carburettor,Overhead Cams (OHC),DC-CDI digital,,Air,4-speed,Chain   (final drive),Wet multiplate.,Constant mesh,Tubular double cradle type,,Telescopic hydraulic shock absorber,,Swing arm with two adjustable hydraulic shock absorber,,Expanding brake (drum brake),110 mm (4.3 inches),Expanding brake (drum brake),,,"805 mm (31.7 inches) If adjustable, lowest setting.",165 mm (6.5 inches),1235 mm (48.6 inches),10.50 litres (2.77 US gallons),"Black/red, black/silver, red, brown, silver",Kick,Made in India. Brand previously called Hero Honda.,8.1 Nm (0.8 kgf-m or 5.9 ft.lbs) @ 5000 RPM,9.0:1,,,2.75-18 ,2.75-18 ,109.0 kg (240.3 pounds),1965 mm (77.4 inches),720 mm (28.3 inches),,,,,,,"Wide, 2-person seat",1045 mm (41.1 inches),,,1.50 litres (0.40 US gallons),2.5 Ah battery,35W/35W headlights,,,,,,,,,,,,,,,,,,,,,,,,
KTM 450 EXC,2015,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",449.3 ccm (27.42 cubic inches),"Single cylinder, four-stroke",,95.0 x 63.4 mm (3.7 x 2.5 inches),Injection,,"Contactless, controlled, fully electronic ignition system with digital ignition timing adjustment, type Kokusan",Forced oil lubrication with 2 Eaton pumps,Liquid,6-speed,Chain   (final drive),Wet multi-disc clutch / hydraulically operated,5/8 x 1/4,Central tube frame made of chrome molybdenum steel tubing,26.5°,WP  Suspension Up Side Down 4860 MXMA PA,300 mm (11.8 inches),WP  Suspension PDS 5018 DCC,335 mm (13.2 inches),Single disc. Brake calipers on floating bearings,220 mm (8.7 inches),Single disc. Brake calipers on floating bearings,111.0 kg (244.7 pounds),,"970 mm (38.2 inches) If adjustable, lowest setting.",345 mm (13.6 inches),1482 mm (58.3 inches),9.00 litres (2.38 US gallons),Orange/black,Electric & kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BamX BX125 DB2 Renegade,2015,"Minibike, cross",Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",6.5 HP (4.7  kW)) @ 7000 RPM,52.4 x 57.0 mm (2.1 x 2.2 inches),Carburettor,Overhead Cams (OHC),,Pressure/splash,Air,4-speed,Chain   (final drive),,,Steel,,Dual Inverted Forks,,"Swing Arm, Mono Shock",,Single disc,,Single disc,56.7 kg (125.0 pounds),0.1147 HP/kg,"762 mm (30.0 inches) If adjustable, lowest setting.",,1041 mm (41.0 inches),4.00 litres (1.06 US gallons),Black/gray,Kick,,8.5 Nm (0.9 kgf-m or 6.3 ft.lbs) @ 5500 RPM,,,,2.50-10 ,2.75-10 ,61.0 kg (134.5 pounds),,,1 year limited parts warranty,Horizontal Single Cylinder ,,,,Optional 12 or 14 inch front wheel and 12 inch rear wheel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arctic Cat TRV 500,2015,ATV,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,443.0 ccm (27.03 cubic inches),"Single cylinder, four-stroke",,89.0 x 71.2 mm (3.5 x 2.8 inches),Injection,Single Overhead Cams (SOHC),,,Liquid,Automatic,Belt   (final drive),,"2/4 WD + Electric Front Differential Lock. Automatic CVT with EBS, Hi/Lo Range  and  Reverse.",,,Double A-Arm,254 mm (10.0 inches),Double A-Arm,254 mm (10.0 inches),Single disc. Hydraulic. ,,Single disc. Hydraulic. ,326.1 kg (719.0 pounds),,,279 mm (11.0 inches),1473 mm (58.0 inches),20.06 litres (5.30 US gallons),"Red, green",Electric,"Powder-Coated Steel Wheels, Front Steel Rack, 3-in-1 System, Rear 2-Inch Receiver.",,,,,25/8-12 ,25/10-12 ,,2504 mm (98.6 inches),1207 mm (47.5 inches),,,,,,Duro Kaden tires,Passenger seat ,1278 mm (50.3 inches),,Analog/digital,,,,Front rack.,,,,,,,,,,,,,,,,,,,,,,,
Derbi Boulevard 50 2T,2015,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.4 ccm (3.01 cubic inches),"Single cylinder, two-stroke",,40.0 x 39.3 mm (1.6 x 1.5 inches),Carburettor,,Electronic CDI,Mechanical oil pump,Air,Automatic,Belt   (final drive),Centrifugal automatic,,,,32 hydraulic fork.,76 mm (3.0 inches),Single shock absorber.,73 mm (2.9 inches),Single disc,140 mm (5.5 inches),Expanding brake (drum brake),99.0 kg (218.3 pounds),,"780 mm (30.7 inches) If adjustable, lowest setting.",120 mm (4.7 inches),1340 mm (52.8 inches),8.00 litres (2.11 US gallons),"White, black, red",Electric,Spanish scooter.,,10.9:1,,,120/70-12 ,120/70-12 ,107.0 kg (235.9 pounds),1880 mm (74.0 inches),735 mm (28.9 inches),,,,,,Black 5-spoke rims,Two-person seat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BamX BX50-DB Pee Wee,2015,"Minibike, cross",Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.5 ccm (3.02 cubic inches),"Single cylinder, two-stroke",2.0 HP (1.5  kW)) @ 6000 RPM,39.0 x 41.1 mm (1.5 x 1.6 inches),Carburettor,,CDI,Pressure/splash,Air,Automatic,Chain   (final drive),,,,,Dual Front Shocks,,Swing Arm Mono Shock,,Single disc,,Single disc,47.6 kg (105.0 pounds),0.0420 HP/kg,"610 mm (24.0 inches) If adjustable, lowest setting.",178 mm (7.0 inches),1092 mm (43.0 inches),15.14 litres (4.00 US gallons),"Red, blue",Kick,,2.8 Nm (0.3 kgf-m or 2.1 ft.lbs) @ 5500 RPM,9.0:1,,,2.50-10 ,2.50-10 ,,,,,,,,,,,,0.90 litres (0.95 US quarts),,,YTX-5L battery.,,,,,,,,,,,,,,,,,,,,,,,,,
Qlink Adventure 250,2015,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,248.0 ccm (15.13 cubic inches),"V2, four-stroke",17.7 HP (12.9  kW)) @ 8500 RPM,49.0 x 66.0 mm (1.9 x 2.6 inches),Carburettor,, CDI,,Air,5-speed,Chain   (final drive),,,,, Hydraulic fork,, Twin shock,,Single disc,,Single disc,179.6 kg (396.0 pounds),0.0985 HP/kg,"706 mm (27.8 inches) If adjustable, lowest setting.",165 mm (6.5 inches),1570 mm (61.8 inches),14.00 litres (3.70 US gallons),"Black, red",Electric,"Optional windshield. Qlink has branches in Mexico, Brazil, Hungary, Nigeria, Taiwan, and China.",16.0 Nm (1.6 kgf-m or 11.8 ft.lbs) @ 6000 RPM,9.4:1,,,110/90-21 ,110/90-16 ,,2489 mm (98.0 inches),925 mm (36.4 inches),    ,,,,Chrome dual exhaust,Chrome spoke wheels,Dual seat,1130 mm (44.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki Skywave 250 Type M,2015,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",34.9 HP (25.5  kW)) @ 7500 RPM,69.0 x 66.8 mm (2.7 x 2.6 inches),Injection,Double Overhead Cams/Twin Cam (DOHC),,,Liquid,Automatic,Belt   (final drive),Automatic centrifugal,,Pipe underbone,25.2°,"Telescopic, 41mm inner tube",,Progressive linkage,,Double disc,,Single disc,173.0 kg (381.4 pounds),0.2016 HP/kg,"695 mm (27.4 inches) If adjustable, lowest setting.",125 mm (4.9 inches),1590 mm (62.6 inches),13.00 litres (3.43 US gallons),White,Electric,,25.0 Nm (2.5 kgf-m or 18.4 ft.lbs) @ 6000 RPM,,4,102 mm (4.0 inches),120/80-14 ,150/70-13 ,,2270 mm (89.4 inches),760 mm (29.9 inches),,,2.56 litres/100 km (39.1 km/l or 91.88 mpg),59.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,Dual seat,1225 mm (48.2 inches),1.50 litres (1.59 US quarts),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda TRX250X,2015,ATV,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,229.0 ccm (13.97 cubic inches),"Single cylinder, four-stroke",,68.5 x 62.2 mm (2.7 x 2.4 inches),Carburettor. 20mm piston-valve carburetor,Overhead Valves (OHV),CD with electronic advance,Dry sump,Air,5-speed,Shaft drive (cardan)   (final drive),Honda SportClutch™,Direct rear drive shaft,,,Independent double-wishbone,150 mm (5.9 inches),Swingarm with single shock,145 mm (5.7 inches),Double disc. Hydraulic. ,229 mm (9.0 inches),Expanding brake (drum brake),,,"798 mm (31.4 inches) If adjustable, lowest setting.",150 mm (5.9 inches),1125 mm (44.3 inches),9.46 litres (2.50 US gallons),Red,Electric,Model ID: TRX250X,,12.0:1,,,22/7-10 ,22/10-9 ,171.9 kg (379.0 pounds),1740 mm (68.5 inches),1062 mm (41.8 inches),One year. Unlimited milage. Transferable.,Longitudinally mounted engine.,,,,,,1082 mm (42.6 inches),,,2.65 litres (0.70 US gallons),,,,Meets current California Air Resources Board (CARB) off-road emissions standards.,,,,,,,,,,,,,,,,,,,,,,
