Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Bore x stroke,Fuel system,Fuel control,Ignition,Lubrication system,Cooling system,Transmission type,Frame type,Rake (fork angle),Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Rear brakes,Seat height,Wheelbase,Compression,Gearbox,Clutch,Fuel consumption,Greenhouse gases,Exhaust system,Trail,Front wheel travel,Rear wheel travel,Dry weight,Power/weight ratio,Overall height,Overall length,Overall width,Ground clearance,Fuel capacity,Color options,Starter,Comments,Diameter,Reserve fuel capacity,Valves per cylinder,Alternate seat height,"Weight incl. oil, gas, etc",Top speed,Engine details,Driveline,Engine oil,Oil filter,Battery,Spark plugs,Chain size,Chain links,Sprockets,Max RPM,Front percentage of weight,Rear percentage of weight,Modifications compared to previous model,Oil capacity,Brake fluid,Coolant,Idle speed,Tire pressure front,Tire pressure rear,Fork tube size,Wheels,Electrical,Belt width,Pulley teeth,1/4 mile (0.4 km),Belt teeth
Benelli Tornado 1130esse,2006,Sport," 3.9  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",1130.0 ccm (68.95 cubic inches),"In-line three, four-stroke",160.9 HP (117.5  kW)) @ 10500 RPM,124.0 Nm (12.6 kgf-m or 91.5 ft.lbs) @ 8000 RPM,88.0 x 62.0 mm (3.5 x 2.4 inches),Injection.  Electronic injection with 1 injector per cylinder,Double Overhead Cams/Twin Cam (DOHC),Electronic ignition,Wet sump,Liquid,Chain   (final drive),Mixed design. Front trusses in ASD tubular steel securely fitted with traction screws with aluminium alloy casting rear section.,23.5°," Ohlins  “upside down” stanchion fork  Ø 46 mm,damping,rebound and spring pre-load adjustment.","Asymmetric  swingarm, composed of cast aluminium and pressed in aluminium alloy, with ohlins  single shock absorber damping,rebound and spring pre-load adjustment",120/70-17 ,190/50-17 ,Double disc,Single disc,"800 mm (31.5 inches) If adjustable, lowest setting.",1419 mm (55.9 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buell Ulysses XB12X,2006,Enduro / offroad," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",1202.9 ccm (73.40 cubic inches),"V2, four-stroke",103.0 HP (75.2  kW)) @ 6800 RPM,113.9 Nm (11.6 kgf-m or 84.0 ft.lbs) @ 6000 RPM,88.9 x 96.8 mm (3.5 x 3.8 inches),Injection,,,,Oil & air,Belt   (final drive),Aluminum frame with Uniplanar™ Powertrain vibration isolation system,22.0°,"Showa® inverted fork with adjustable compression damping, rebound damping and spring preload","Showa® Fully adjustable, coil-over monoshock with remote, underseat reservoir",120/70-R17 ,180/55-R17 ,Single disc,Single disc,,1374 mm (54.1 inches),10.0:1,5-speed,"Wet, multiplate, compensated, reduced lever effort",4.05 litres/100 km (24.7 km/l or 58.08 mpg),94.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,"InterActive exhaust, Mass centralized muffler with extended outlet -  mounted under the bike",122 mm (4.8 inches),165 mm (6.5 inches),162 mm (6.4 inches),192.8 kg (425.0 pounds),0.5343 HP/kg,1331 mm (52.4 inches),2159 mm (85.0 inches),892 mm (35.1 inches),171 mm (6.8 inches),16.65 litres (4.40 US gallons),"Midnight black, Barricade orange",Electric,Also available with carburator.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPI Oliver Sport 50,2006,Scooter," 3.2  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.2 ccm (3.00 cubic inches),"Single cylinder, two-stroke",,,40.0 x 39.2 mm (1.6 x 1.5 inches),,,,,Air,,,,,"Oilpneumatic shockabsorber, adjustable.",120/70-12 ,130/70-12 ,Single disc,Expanding brake (drum brake),,,,,,,,,,,,,,,1839 mm (72.4 inches),,,5.20 litres (1.37 US gallons),,Electric & kick,,110 mm (4.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TGB 101 R,2006,Scooter," 2.3  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",151.0 ccm (9.21 cubic inches),"Single cylinder, four-stroke",8.6 HP (6.3  kW)) @ 7000 RPM,,57.4 x 58.4 mm (2.3 x 2.3 inches),Carburettor,,,,Oil & air,Belt   (final drive),,,,,120/90-10 ,120/90-10 ,Single disc,Expanding brake (drum brake),,,10.8:1,,,,,,,,,84.0 kg (185.2 pounds),0.1024 HP/kg,1140 mm (44.9 inches),1770 mm (69.7 inches),680 mm (26.8 inches),,5.10 litres (1.35 US gallons),,Electric & kick,TGB is an abbreviation of Taiwan Golden Bee.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TGB F 409,2006,Scooter," 2.8  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.3 ccm (3.01 cubic inches),"Single cylinder, two-stroke",4.9 HP (3.6  kW)) @ 7500 RPM,,,,,,Separate oil pump,Air,Belt   (final drive),,,,,130/80-13 ,130/80-13 ,Single disc,Expanding brake (drum brake),,,,,,,,,,,,94.0 kg (207.2 pounds),0.0521 HP/kg,1115 mm (43.9 inches),1890 mm (74.4 inches),715 mm (28.1 inches),,6.30 litres (1.66 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Concours,2006,Sport touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",997.0 ccm (60.84 cubic inches),"In-line four, four-stroke",,98.0 Nm (10.0 kgf-m or 72.3 ft.lbs) @ 6500 RPM,74.0 x 58.0 mm (2.9 x 2.3 inches),Carburettor.  Keihin CVK 32 X 4,Double Overhead Cams/Twin Cam (DOHC),TCBI with Electronic Advance,,Liquid,Shaft drive (cardan)   (final drive),,28.5°,41mm Hydraulic Telescopic Fork with Adjustable Preload,"Uni-Trak with Adjustable Air Pressure, 4-Way Rebound Damping",120/70-VR18 ,150/80-VR16 ,Double disc,Single disc,"790 mm (31.1 inches) If adjustable, lowest setting.",1554 mm (61.2 inches),10.2:1,6-speed,,,,,,,,269.9 kg (595.0 pounds),,,,,,28.38 litres (7.50 US gallons),Metallic Nocturne Blue/Metallic Graystone,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UM DTF 110,2006,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",107.0 ccm (6.53 cubic inches),"Single cylinder, four-stroke",,,52.4 x 49.5 mm (2.1 x 1.9 inches),,,,,Air,Chain   (final drive),,,Telescopic fork,Single gas absorber,,,Single disc,Expanding brake (drum brake),"686 mm (27.0 inches) If adjustable, lowest setting.",1016 mm (40.0 inches),9.1:1,4-speed,Manual clutch,,,,,,,68.5 kg (151.0 pounds),,,1600 mm (63.0 inches),,,5.60 litres (1.48 US gallons),"Blue, Red, Orange, Hot pink",Electric & kick,,,1.09 litres (0.29 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda Forza-X,2006,Scooter," 3.7  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",250.0 ccm (15.26 cubic inches),"Single cylinder, four-stroke",19.2 HP (14.0  kW)) @ 7500 RPM,21.1 Nm (2.2 kgf-m or 15.6 ft.lbs) @ 5500 RPM,72.7 x 60.0 mm (2.9 x 2.4 inches),Injection. PGM-FI electronic fuel injection,Overhead Cams (OHC),Fully transistorised with electronic advance,,Liquid,Belt   (final drive),,,,,,,Single disc,Expanding brake (drum brake),"720 mm (28.3 inches) If adjustable, lowest setting.",1545 mm (60.8 inches),10.0:1,,"Automatic, centrifugal",,,,93 mm (3.7 inches),,,175.0 kg (385.8 pounds),0.1095 HP/kg,,,,140 mm (5.5 inches),12.00 litres (3.17 US gallons),,Electric,,130 mm (5.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha YZ 125,2006,Cross / motocross," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",,,54.0 x 54.5 mm (2.1 x 2.1 inches),Carburettor. Mikuni TMX38,,CDI,Premix,Liquid,Chain   (final drive),,,Telescopic fork,Swinging arm (link-type monocross),80/90-M21 ,100/90-M19 ,Single disc,Single disc,"998 mm (39.3 inches) If adjustable, lowest setting.",1443 mm (56.8 inches),8.6:1,5-speed,"Wet, multiple-disc",,,,,300 mm (11.8 inches),125 mm (4.9 inches),86.0 kg (189.6 pounds),,1318 mm (51.9 inches),2139 mm (84.2 inches),827 mm (32.6 inches),388 mm (15.3 inches),8.00 litres (2.11 US gallons),,Kick,,245 mm (9.6 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lem CX2,2006,"Minibike, cross",Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.8 ccm (3.04 cubic inches),"Single cylinder, two-stroke",3.2 HP (2.3  kW)),1.6 Nm (0.2 kgf-m or 1.2 ft.lbs),,,,,3% mixture,Air,Chain   (final drive),Oval steel tube,,,,,,Single disc,Expanding brake (drum brake),"605 mm (23.8 inches) If adjustable, lowest setting.",909 mm (35.8 inches),,Automatic,Centrifugal wet,,,,,,,34.0 kg (75.0 pounds),0.0941 HP/kg,,1300 mm (51.2 inches),,221 mm (8.7 inches),2.00 litres (0.53 US gallons),,,,90 mm (3.5 inches),,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
