Model,Year,Category,Rating,Displacement,Engine type,Torque,Compression,Bore x stroke,Fuel system,Cooling system,Gearbox,Rake (fork angle),Trail,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Dry weight,Seat height,Overall length,Ground clearance,Wheelbase,Fuel capacity,Color options,Comments,Power,Valves per cylinder,Fuel control,Transmission type,Frame type,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Power/weight ratio,Overall width,Reserve fuel capacity,Top speed,Fuel consumption,Greenhouse gases,Modifications compared to previous model,Overall height,Max RPM,Ignition,Lubrication system,Clutch,Exhaust system,Starter,"Weight incl. oil, gas, etc",Alternate seat height,Oil capacity,Engine oil,Oil filter,Brake fluid,Battery,Spark plugs,Idle speed,Belt teeth,Belt width,Pulley teeth,Fork tube size,0-100 km/h (0-62 mph),Driveline,Electrical,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Coolant,Chain size,Engine details,Wheels
Harley-Davidson VRSCA V-Rod,2004,Custom / cruiser," 3.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1131.0 ccm (69.01 cubic inches),"V2, four-stroke",105.0 Nm (10.7 kgf-m or 77.4 ft.lbs) @ 6600 RPM,11.3:1,100.0 x 72.0 mm (3.9 x 2.8 inches),Injection,Air,5-speed,34.0°,99 mm (3.9 inches),120/70-ZR19 ,180/55-ZR18 ,Double disc,292 mm (11.5 inches),Single disc,275.0 kg (606.3 pounds),"660 mm (26.0 inches) If adjustable, lowest setting.",2500 mm (98.4 inches),141 mm (5.6 inches),1710 mm (67.3 inches),18.90 litres (4.99 US gallons),"Vivid black, impact blue, lava red sunglo, two-tone luxury teal and brilliant silver, two-tone smokey gold and vivid black","Chrome, two-tone silver and charcoal engine; hydroformed perimeter frame with silver leafed aluminum powder-coat and clear-coat; 49mm forks raked out at 38°; 660 mm seat height; 14-liter fuel tank under seat; radiator shroud with twin vortex air scoops; aerodynamic, reflector optic headlight",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi Nevada 750 Club,2004,Custom / cruiser," 3.1  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",744.0 ccm (45.40 cubic inches),"V2, four-stroke",77.3 Nm (7.9 kgf-m or 57.0 ft.lbs) @ 3000 RPM,9.6:1,80.0 x 74.0 mm (3.1 x 2.9 inches),Carburettor,Air,5-speed,28.0°,134 mm (5.3 inches),100/90-V18 ,130/90-V16 ,Single disc,260 mm (10.2 inches),Single disc,182.0 kg (401.2 pounds),"770 mm (30.3 inches) If adjustable, lowest setting.",2205 mm (86.8 inches),190 mm (7.5 inches),1482 mm (58.3 inches),14.00 litres (3.70 US gallons),"Rosso Baroque/Grigio minerale. bluen lord/grigio Berlin,Grigio platino/Bianco",,45.6 HP (33.3  kW)) @ 6600 RPM,2,Overhead Cams (OHC),Shaft drive (cardan)   (final drive),Detachable tubular duplex cradle,Marzocchi 40 mm hydraulic telescopic fork,136 mm (5.4 inches),"Swing arm in light cast alloy with two dampers, spring adjustable for pre-load and rebound",75 mm (3.0 inches),0.2505 HP/kg,875 mm (34.4 inches),4.00 litres (1.06 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enfield Bullet 350,2004,Naked bike," 3.7  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",346.0 ccm (21.11 cubic inches),"Single cylinder, four-stroke",27.0 Nm (2.8 kgf-m or 19.9 ft.lbs) @ 2875 RPM,7.3:1,70.0 x 90.0 mm (2.8 x 3.5 inches),Carburettor,Air,4-speed,,,,,Expanding brake (drum brake),152 mm (6.0 inches),Expanding brake (drum brake),,"740 mm (29.1 inches) If adjustable, lowest setting.",2120 mm (83.5 inches),140 mm (5.5 inches),1370 mm (53.9 inches),,Black.,Made for the local marked in India.,18.0 HP (13.1  kW)) @ 5000 RPM,,,Chain   (final drive),,,,,,,750 mm (29.5 inches),,100.0 km/h (62.1 mph),2.20 litres/100 km (45.5 km/l or 106.92 mpg),51.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,Strong chassis for rugged and durable use. Excellent riding comfort for long distance travelling.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PGO i-Charge125,2004,Scooter," 3.0  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",124.9 ccm (7.62 cubic inches),"Single cylinder, four-stroke",,,,,Air,,,,100/90-10 ,100/90-10 ,Single disc,,Expanding brake (drum brake),109.0 kg (240.3 pounds),,1815 mm (71.5 inches),,,,Blue,,9.5 HP (6.9  kW)) @ 7500 RPM,,,,,,,,,0.0873 HP/kg,696 mm (27.4 inches),,,,,,1137 mm (44.8 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kymco Grand Dink 150,2004,Scooter," 3.5  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",151.0 ccm (9.21 cubic inches),"Single cylinder, four-stroke",,,,Carburettor,,,,,120/70-12 ,140/70-12 ,Single disc,200 mm (7.9 inches),Single disc,155.0 kg (341.7 pounds),,2055 mm (80.9 inches),,1390 mm (54.7 inches),,,,12.7 HP (9.3  kW)),,,,,,,,,0.0821 HP/kg,768 mm (30.2 inches),,,,,,1370 mm (53.9 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki GPZ 500 S,2004,Sport touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",498.0 ccm (30.39 cubic inches),"Twin, four-stroke",46.1 Nm (4.7 kgf-m or 34.0 ft.lbs) @ 8500 RPM,10.8:1,74.0 x 58.0 mm (2.9 x 2.3 inches),Carburettor. keihin CV34 X 2,Liquid,6-speed,27.0°,91 mm (3.6 inches),,,Double disc,,Single disc,178.0 kg (392.4 pounds),,,,,18.00 litres (4.76 US gallons),,,60.0 HP (43.8  kW)) @ 9800 RPM,4,Double Overhead Cams/Twin Cam (DOHC),Chain   (final drive),,,,,,0.3371 HP/kg,,2.20 litres (0.58 US gallons),,,,,,10000,transistorised,wet sump,wet plate,double chrome pipes,Electric,,,,,,,,,,,,,,,,,,,,,,,,
Honda VTX 1800 Retro Cast,2004,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1795.0 ccm (109.53 cubic inches),"V2, four-stroke",,9.0:1,101.0 x 112.0 mm (4.0 x 4.4 inches),Injection,Liquid,5-speed,32.0°,,150/80-R17 ,180/70-R16 ,Double disc,316 mm (12.4 inches),Single disc,,"693 mm (27.3 inches) If adjustable, lowest setting.",2456 mm (96.7 inches),,1715 mm (67.5 inches),20.06 litres (5.30 US gallons),"Black, Metallic Silver, Candy Orange, Candy Red, Illusion Blue","Specifications will vary according to Style and Build
Spec options selected.",,3,Single Overhead Cams (SOHC),Shaft drive (cardan)   (final drive),,45mm inverted fork,130 mm (5.1 inches),Dual shocks with five-position spring-preload adjustability,99 mm (3.9 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Daytona 955i,2004,Sport," 4.0  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",955.0 ccm (58.27 cubic inches),"In-line three, four-stroke",100.0 Nm (10.2 kgf-m or 73.8 ft.lbs) @ 8200 RPM,12.0:1,79.0 x 65.0 mm (3.1 x 2.6 inches),Injection,Liquid,6-speed,,,120/70-ZR17 ,190/50-ZR17 ,Double disc,220 mm (8.7 inches),Single disc,191.0 kg (421.1 pounds),"815 mm (32.1 inches) If adjustable, lowest setting.",2072 mm (81.6 inches),,1426 mm (56.1 inches),21.00 litres (5.55 US gallons),,,147.0 HP (107.3  kW)) @ 10700 RPM,,Double Overhead Cams/Twin Cam (DOHC),,,,,,,0.7696 HP/kg,725 mm (28.5 inches),,,,,,1165 mm (45.9 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 1200 CL,2004,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1170.0 ccm (71.39 cubic inches),"Two cylinder boxer, four-stroke",98.0 Nm (10.0 kgf-m or 72.3 ft.lbs) @ 3000 RPM,10.0:1,101.0 x 73.0 mm (4.0 x 2.9 inches),Injection,Oil & air,5-speed,,,150/80-VR16 ,170/80-VR15 ,Double disc,285 mm (11.2 inches),Single disc,288.0 kg (634.9 pounds),"745 mm (29.3 inches) If adjustable, lowest setting.",2415 mm (95.1 inches),,1641 mm (64.6 inches),17.50 litres (4.62 US gallons),,,61.0 HP (44.5  kW)) @ 5000 RPM,4,Single Overhead Cams (SOHC),Shaft drive (cardan)   (final drive),"Three-section composite frame consisting of front and rear section, load bearing engine.","BMW Motorrad Telelever; stanchion diameter 35 mm, central strut",144 mm (5.7 inches),"Die-cast steel single-sided swinging arm with BMW Motorrad Monolever; WAD strut (travel-related damping), spring pre-load adjustable to continuously variable levels by means of hydraulic handwheel",120 mm (4.7 inches),0.2118 HP/kg,1075 mm (42.3 inches),4.00 litres (1.06 US gallons),165.0 km/h (102.5 mph),5.10 litres/100 km (19.6 km/l or 46.12 mpg),118.3 CO2 g/km. (CO2 - Carbon dioxide emission) ,,1435 mm (56.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha BT 1100 Bulldog,2004,Naked bike," 3.8  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1063.0 ccm (64.86 cubic inches),"Twin, four-stroke",88.2 Nm (9.0 kgf-m or 65.1 ft.lbs) @ 4500 RPM,8.3:1,95.0 x 75.0 mm (3.7 x 3.0 inches),,Air,,,,120/70-ZR17 ,170/60-ZR17 ,Double disc,267 mm (10.5 inches),Single disc,229.5 kg (506.0 pounds),"812 mm (32.0 inches) If adjustable, lowest setting.",2192 mm (86.3 inches),168 mm (6.6 inches),1511 mm (59.5 inches),,"Midnight black, Blue stone, Light bronze",,64.1 HP (46.8  kW)) @ 5500 RPM,1,Single Overhead Cams (SOHC),,,Telescopic fork,130 mm (5.1 inches),Swing arm (link suspension),113 mm (4.4 inches),0.2793 HP/kg,800 mm (31.5 inches),,,,,,1145 mm (45.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAS GAS EC Rookie 50,2004,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",49.9 ccm (3.05 cubic inches),"Single cylinder, two-stroke",,,39.0 x 41.8 mm (1.5 x 1.6 inches),Carburettor,Liquid,6-speed,,,80/90-21 ,110/80-18 ,Single disc,220 mm (8.7 inches),Single disc,93.0 kg (205.0 pounds),"920 mm (36.2 inches) If adjustable, lowest setting.",,370 mm (14.6 inches),1330 mm (52.4 inches),9.50 litres (2.51 US gallons),Red,,,,,Chain   (final drive),Rectangular profile Cr-Mo,"Showa inverted fork, 45 mm",160 mm (6.3 inches),Aluminium swingarm. Boge shock absorbers,250 mm (9.8 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
