Model,Year,Category,Rating,Displacement,Engine type,Bore x stroke,Fuel system,Transmission type,Front tire,Rear tire,Wheels,Seat,Dry weight,Power,Top speed,Compression,Fuel control,Lubrication system,Cooling system,Gearbox,Clutch,Frame type,Front suspension,Rear suspension,Front brakes,"Weight incl. oil, gas, etc",Overall height,Overall length,Overall width,Starter,Ignition,Fuel consumption,Greenhouse gases,Diameter,Rear brakes,Fuel capacity,Engine details,Driveline,Exhaust system,Color options,Light,Wheelbase,Carrying capacity,Comments,Power/weight ratio
Harley-Davidson Model A,1926,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,345.0 ccm (21.05 cubic inches),"Single cylinder, four-stroke",73.0 x 82.6 mm (2.9 x 3.3 inches),Carburettor,Chain   (final drive),3-27 ,3-27 ,Spoked,Solo seat with springs,113.0 kg (249.1 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R39,1926,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,247.0 ccm (15.07 cubic inches),"Single cylinder, four-stroke",68.0 x 68.0 mm (2.7 x 2.7 inches),Carburettor. 20mm BMW Spezial,Shaft drive (cardan)   (final drive),3.5-27 ,3.5-27 ,,Single seat,,6.0 HP (4.4  kW)) @ 4000 RPM,100.0 km/h (62.1 mph),6.1:1,Overhead Valves (OHV),Wet sump ,Air,3-speed,Dry-single plate-cable operated,Steel doble cradle,Leading link ,Rigid,Expanding brake (drum brake),110.0 kg (242.5 pounds),950 mm (37.4 inches),2050 mm (80.7 inches),800 mm (31.5 inches),Kick,,,,,,,,,,,,,,,
Harley-Davidson Model F,1926,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,989.0 ccm (60.35 cubic inches),"V2, four-stroke",84.0 x 89.0 mm (3.3 x 3.5 inches),Carburettor,Chain   (final drive),3-26 ,3-26 ,Spoked,Single ,177.0 kg (390.2 pounds),,,,,,,,,,,,,,,,,,Magneto,,,,,,,,,,,,,,
Harley-Davidson Peashooter,1926,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,350.0 ccm (21.36 cubic inches),"Single cylinder, four-stroke",,Carburettor,,,,,,,,160.9 km/h (100.0 mph),,Overhead Valves (OHV),,,,,,,,,,,,,,,,,,,,,,,,,,,,
DKW E 200,1926,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,198.0 ccm (12.08 cubic inches),"Single cylinder, two-stroke",63.0 x 64.0 mm (2.5 x 2.5 inches),Carburettor,Chain   (final drive),2.85-26 ,2.85-26 ,Spoked,Two single seats,75.0 kg (165.3 pounds),,70.0 km/h (43.5 mph),,,,Air,,,,,None,Expanding brake (drum brake),,,,,,Magneto,3.00 litres/100 km (33.3 km/l or 78.41 mpg),69.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,140 mm (5.5 inches),Expanding brake (drum brake),10.00 litres (2.64 US gallons),,,,,,,,,
Ariel Model B,1926,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,557.0 ccm (33.99 cubic inches),"Single cylinder, four-stroke",,Carburettor,Chain   (final drive),,,"Wire spoked, black rims",Single seat with springs,,,,,Overhead Valves (OHV),,Air,3-speed,,,,,Expanding brake (drum brake),,,,,Kick,,,,,Expanding brake (drum brake),,Sidevalve,Sturmey Archer hand change gearbox,Fish-tail exhaust,Black,,,,,
Scott Super Squirrel,1926,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,596.0 ccm (36.37 cubic inches),"Twin, two-stroke",,Carburettor,Chain   (final drive),,,,Solo seat with springs,,,,,,,,3-speed,Two-speed foot shift,,,,,,,,,,,,,,,,,,,,Actylene head and tail,,,,
Zündapp EM 250,1926,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,249.0 ccm (15.19 cubic inches),"Single cylinder, two-stroke",62.0 x 82.5 mm (2.4 x 3.2 inches),Carburettor,Chain   (final drive),2.85-26 ,2.85-26 ,Spoked,Single ,,4.5 HP (3.3  kW)) @ 3100 RPM,80.0 km/h (49.7 mph),,,,Air,3-speed,,,Webb  fork,Rigid,Expanding brake (drum brake),,,,,Kick,,,,,Expanding brake (drum brake),,,,,,,,,,
Indian Chief,1926,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1210.0 ccm (73.83 cubic inches),"V2, four-stroke",83.0 x 113.0 mm (3.3 x 4.4 inches),Carburettor. Linkert,Chain   (final drive),,,,,,,,,,,,,,,Telescopic,Plungertype with coil springs,Expanding brake (drum brake),,,,,,,,,,Expanding brake (drum brake),,,,,,,1540 mm (60.6 inches),,,
BMW R42,1926,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,494.0 ccm (30.14 cubic inches),"Two cylinder boxer, four-stroke",68.0 x 68.0 mm (2.7 x 2.7 inches),Carburettor. 20mm BMW Spezial,Shaft drive (cardan)   (final drive),3.5-26 ,3.5-26 ,,Single seat,,12.0 HP (8.7  kW)) @ 3400 RPM,95.0 km/h (59.0 mph),4.9:1,Overhead Valves (OHV),Wet sump ,Air,3-speed,Dry-single plate-cable operated,Steel doble cradle,Leading link ,Rigid,Expanding brake (drum brake),126.0 kg (277.8 pounds),950 mm (37.4 inches),2100 mm (82.7 inches),800 mm (31.5 inches),Kick,,3.00 litres/100 km (33.3 km/l or 78.41 mpg),69.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,150 mm (5.9 inches),,,,,,,,1410 mm (55.5 inches),188kg,,
Ace Standard,1926,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1234.0 ccm (75.30 cubic inches),"Twin, four-stroke",69.9 x 82.6 mm (2.8 x 3.3 inches),Carburettor,Chain   (final drive),3.5-27 ,3.5-27 ,Spoked,Single spring-mounted,165.0 kg (363.8 pounds),,,,,,,,,,,,,,,,,,Magneto,,,,,,,,,,,,,,
NSU 6PS,1926,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,743.0 ccm (45.34 cubic inches),"Twin, four-stroke",72.5 x 90.0 mm (2.9 x 3.5 inches),Carburettor. Pallas,,3-26 ,3-26 ,Spoked,Single ,155.0 kg (341.7 pounds),,90.0 km/h (55.9 mph),,,,Air,,,Steel,,,,,720 mm (28.3 inches),2240 mm (88.2 inches),880 mm (34.6 inches),,Magneto,,,,,,,,,,,1455 mm (57.3 inches),,,
Indian LE,1926,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,348.0 ccm (21.23 cubic inches),"Single cylinder, four-stroke",68.0 x 90.0 mm (2.7 x 3.5 inches),Carburettor,Chain   (final drive),3.30-25 ,3.30-25 ,,Single ,122.0 kg (269.0 pounds),,,,,,,3-speed,,,,,Expanding brake (drum brake),,,,,,Magneto,,,,Expanding brake (drum brake),,,,,,,,,,
NSU 8PS,1926,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,996.0 ccm (60.78 cubic inches),"Twin, four-stroke",80.0 x 99.0 mm (3.1 x 3.9 inches),Carburettor,Chain   (final drive),3-28 ,3-28 ,Balloon tire,Single ,,16.0 HP (11.7  kW)) @ 3500 RPM,,,,,Air,3-speed,,Steel,,,,,760 mm (29.9 inches),2320 mm (91.3 inches),880 mm (34.6 inches),Kick,,,,,,,,,,,,1490 mm (58.7 inches),,,
Indian Prince,1926,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,348.0 ccm (21.23 cubic inches),"Single cylinder, four-stroke",70.0 x 78.0 mm (2.8 x 3.1 inches),Carburettor,Chain   (final drive),2.5-26 ,2.5-26 ,Spoked,Single ,106.0 kg (233.7 pounds),,,,,Mechanical pump,,,,,,,Expanding brake (drum brake),,,,,,Magneto,,,,Expanding brake (drum brake),,,,,,,,,,
Harley-Davidson Model S,1926,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,345.0 ccm (21.05 cubic inches),"Single cylinder, two-stroke",,Carburettor,Chain   (final drive),2.5-28 ,2.5-28 ,Spoked,Single ,,,137.0 km/h (85.1 mph),,Overhead Valves (OHV),,,,,,,,,,,,,,,,,,,,,,No pipes,,,,,,
Ariel Model D 500,1926,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,498.0 ccm (30.39 cubic inches),"Single cylinder, four-stroke",81.5 x 95.0 mm (3.2 x 3.7 inches),Carburettor,Chain   (final drive),,,Wire spoked,Single seat with springs,,,,,Overhead Valves (OHV),,Air,,,,,,Expanding brake (drum brake),,,,,Kick,,,,,Expanding brake (drum brake),,Sidevalve,,,Black,,,Rear rack,Designed by Val Page.,
