Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Compression,Bore x stroke,Cooling system,Gearbox,Transmission type,Frame type,Front suspension,Rear suspension,Front brakes,Diameter,Rear brakes,Wheels,"Weight incl. oil, gas, etc",Seat height,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Fuel capacity,Color options,Starter,Comments,Fuel system,Lubrication system,Front tire,Rear tire,Dry weight,Engine details,Valves per cylinder,Fuel control,Ignition,Clutch,Driveline,Fuel consumption,Greenhouse gases,Emission details,Exhaust system,Rake (fork angle),Trail,Front wheel travel,Rear wheel travel,Seat,Power/weight ratio,Alternate seat height,Instruments,Factory warranty,Electrical,Light,Carrying capacity,Reserve fuel capacity,Oil capacity,Top speed,0-100 km/h (0-62 mph),Max RPM,Engine oil,Oil filter,Brake fluid,Coolant,Battery,Spark plugs,Idle speed,Chain size,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,1/4 mile (0.4 km),Modifications compared to previous model,Belt teeth,Belt width,Pulley teeth
Mahindra Centuro Rockstar,2018,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,106.7 ccm (6.51 cubic inches),"Single cylinder, four-stroke",8.5 HP (6.2  kW)) @ 7500 RPM,8.5 Nm (0.9 kgf-m or 6.3 ft.lbs) @ 5500 RPM,9.5:1,52.4 x 49.5 mm (2.1 x 1.9 inches),Air,4-speed,Chain   (final drive),Double cradle steel tubular structure,"Telescopic fork, coil spring","Dual shocks, coiled 5-step adjustable",Expanding brake (drum brake),130 mm (5.1 inches),Expanding brake (drum brake),"Black, 5-spoke",126.0 kg (277.8 pounds),"800 mm (31.5 inches) If adjustable, lowest setting.",1111 mm (43.7 inches),2031 mm (80.0 inches),735 mm (28.9 inches),173 mm (6.8 inches),1265 mm (49.8 inches),12.70 litres (3.36 US gallons),"Black, red ",Electric & kick,Made in India.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adly GTA-125,2018,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",,,,,Air,Automatic,Belt   (final drive),,Grease Shock Absorber,Hydraulic Shock Absorber,Single disc,,Single disc,,,"780 mm (30.7 inches) If adjustable, lowest setting.",,,,,,6.00 litres (1.59 US gallons),"White, black",Electric & kick,,Carburettor,Wet sump,120/70-12 ,120/70-12 ,98.0 kg (216.1 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati Multistrada 1260 Pikes Peak,2018,Allround," 3.6  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",1262.0 ccm (77.01 cubic inches),"V2, four-stroke",158.0 HP (115.3  kW)) @ 9500 RPM,129.5 Nm (13.2 kgf-m or 95.5 ft.lbs) @ 7500 RPM,13.0:1,106.0 x 71.5 mm (4.2 x 2.8 inches),Liquid,6-speed,Chain   (final drive),Tubular steel trellis ,48mm fully adjustable usd forks.,Fully adjustable Sachs unit. Remote spring preload adjustment. Aluminium single-sided swingarm,Double disc. ABS. Floating discs. Four-piston calipers. Radially mounted. ,245 mm (9.6 inches),Single disc. ABS. Two-piston calipers. ,,,"825 mm (32.5 inches) If adjustable, lowest setting.",,2200 mm (86.6 inches),,,1530 mm (60.2 inches),20.00 litres (5.28 US gallons),Red/grey/white,Electric,Windscreen. Traction control. Cruise control. Hands-Free.,"Injection. Bosch electronic fuel injection system, elliptical throttle bodies with Ride-by-Wire, equivalent diameter 56 mm",,120/70-17 ,190/55-17 ,206.0 kg (454.2 pounds),Testastretta DVT,4,Desmodromic valve control,Dual Spark,"Light action, wet, multiplate slipper clutch with hydraulic control. Self-servo action on drive, slipper action on over-run",Chain 5.30,5.20 litres/100 km (19.2 km/l or 45.23 mpg),120.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,Euro 4,"Stainless steel muffler with catalytic converter and 2 lambda probes, alluminium tail pipes",24.0°,109 mm (4.3 inches),170 mm (6.7 inches),170 mm (6.7 inches),Dual seat,0.7670 HP/kg,"845 mm (33.3 inches) If adjustable, highest setting.",LCD display,2 years unlimited mileage,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Ninja ZX-10RR,2018,Sport," 3.8  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",998.0 ccm (60.90 cubic inches),"In-line four, four-stroke",200.0 HP (146.0  kW)) @ 13000 RPM,113.5 Nm (11.6 kgf-m or 83.7 ft.lbs) @ 11600 RPM,13.0:1,76.0 x 55.0 mm (3.0 x 2.2 inches),Liquid,6-speed,Chain   (final drive),Aluminum perimeter,"43 mm inverted fork with rebound and compression damping, spring preload adjustability and top-out springs",Horizontal Back-link with gas-charged shock and top-out spring. Compression damping,Double disc. Floating discs. ABS.,220 mm (8.7 inches),Single disc. ABS.,Marchesini wheels,206.0 kg (454.2 pounds),"835 mm (32.9 inches) If adjustable, lowest setting.",1145 mm (45.1 inches),2090 mm (82.3 inches),740 mm (29.1 inches),145 mm (5.7 inches),1440 mm (56.7 inches),17.00 litres (4.49 US gallons),Flat ebony,Electric,"154,4 kW (210 PS) at 13.000 with RAM air. Small windscreen. Kawasaki Launch Control Mode (KLCM), Kawasaki Intelligent anti-lock Brake System (KIBS), Kawasaki Sport Traction Control (S-KTRC), Kawasaki Engine Braking Control, Kawasaki Quick Shifter (KQS) (upshift  and  downshift), Kawasaki Corner Management Function (KCMF.","Injection. DFI® w/47mm Mikuni throttle bodies (4) with oval sub-throttles, two injectors per cylinder","Forced lubrication, wet sump with oil cooler",120/70-ZR17 ,190/55-ZR17 ,,,4,Double Overhead Cams/Twin Cam (DOHC),TCBI with digital advance and Sport-Kawasaki Traction Control (S-KTRC),"Wet multi-disc, manual",Sealed chain,6.98 litres/100 km (14.3 km/l or 33.70 mpg),161.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,27.0°,107 mm (4.2 inches),119 mm (4.7 inches),140 mm (5.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bajaj Dominar 400,2018,Naked bike," 3.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",373.3 ccm (22.78 cubic inches),"Single cylinder, four-stroke",35.0 HP (25.5  kW)) @ 8000 RPM,35.0 Nm (3.6 kgf-m or 25.8 ft.lbs) @ 6000 RPM,,,Liquid,,,Beam type perimeter frame,"Telescopic, 43mm forks",Multi-step adjustable mono shock,Single disc. ABS. ,230 mm (9.1 inches),Single disc. ABS. ,,182.0 kg (401.2 pounds),,,,,157 mm (6.2 inches),1453 mm (57.2 inches),13.00 litres (3.43 US gallons),"Black, blue, red",Electric,,Injection,,110/70-17 ,150/60-17 ,,,,,,Slipper clutch,,,,,,,,,,,,,,,"12V, 8Ah VRLA battery.",,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Vulcan 900 Custom,2018,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",903.0 ccm (55.10 cubic inches),"V2, four-stroke",48.0 HP (35.0  kW)) @ 5700 RPM,78.9 Nm (8.0 kgf-m or 58.2 ft.lbs) @ 3500 RPM,9.5:1,88.0 x 74.2 mm (3.5 x 2.9 inches),Liquid,5-speed,Belt   (final drive),"Double-cradle, steel",41mm hydraulic telescopic fork ,"Uni-Trak   swingarm, 7-way adjustable spring preload",Single disc. Hydraulic. ,242 mm (9.5 inches),Single disc. Hydraulic. ,,277.1 kg (610.8 pounds),"686 mm (27.0 inches) If adjustable, lowest setting.",1120 mm (44.1 inches),2405 mm (94.7 inches),894 mm (35.2 inches),140 mm (5.5 inches),1646 mm (64.8 inches),20.06 litres (5.30 US gallons),Candy Lime Green/Metallic Spark Black,Electric,,"Injection. DFI® 34mm throttle bodies (2), with sub-throttle valves",,80/90-21 ,180/70-15 ,,52° V-twin,4,Single Overhead Cams (SOHC),TCBI with digital advance,Wet multi-disc,Kevlar-reinforced belt,,,,,33.0°,183 mm (7.2 inches),150 mm (5.9 inches),104 mm (4.1 inches),,,,,12 Months Limited,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia SR 50 R,2018,Scooter," 3.0  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",,,12.1:1,40.0 x 39.3 mm (1.6 x 1.5 inches),Liquid,Automatic,Belt   (final drive),Split single cradle frame in high tensile strength steel tube ,Telescopic hydraulic fork,Engine unit acting as swingarm. Monoshock.,Single disc. 2 opposing pistons,190 mm (7.5 inches),Single disc. 2 opposing pistons,"Five spoke, light alloy wheels",,"820 mm (32.3 inches) If adjustable, lowest setting.",1120 mm (44.1 inches),1860 mm (73.2 inches),705 mm (27.8 inches),,1290 mm (50.8 inches),7.00 litres (1.85 US gallons),"Silver/black/red
",Electric,,Carburettor,Separate mixing with mechanical oil pump,130/60-13 ,130/60-13 ,,,,,CDI,Automatic centrifugal dry clutch,Gears in oil bath final drive,,,Euro 2,,,,90 mm (3.5 inches),70 mm (2.8 inches),,,,Digital dashboard,,"Generator: Flywheel-magneto, 70 W – 12 V ",Dual halogen headlights,Storage compartment in the seat nose,,,,,,,,,,,,,,,,,,,,,,,
BMW F 800 GS Trophy,2018,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",798.0 ccm (48.69 cubic inches),"Twin, four-stroke",85.0 HP (62.0  kW)) @ 7500 RPM,83.0 Nm (8.5 kgf-m or 61.2 ft.lbs) @ 5750 RPM,12.0:1,82.0 x 75.6 mm (3.2 x 3.0 inches),Liquid,6-speed,Chain   (final drive),"Tubular steel space frame, load-bearing engine","Upside-down telescopic fork,  43 mm","Cast aluminium dual swing arm, WAD strut (travel related damping), spring pre-load hydraulically adjustable (continuously variable) at handwheel, rebound damping adjustable",Double disc. ABS. Floating discs. Two-piston calipers. ,265 mm (10.4 inches),Single disc. ABS. Floating disc. Single-piston caliper. ,Wire wheels,217.0 kg (478.4 pounds),"880 mm (34.6 inches) If adjustable, lowest setting.",1350 mm (53.1 inches),2300 mm (90.6 inches),945 mm (37.2 inches),,1573 mm (61.9 inches),16.00 litres (4.23 US gallons),Light White/Racing Red,Electric,Ride-By-Wire. Riding Modes Rain and Road. Heated Grips.,"Injection. Electroinc intake pipe injection, digital engine management (BMS-K+)",Dry sump,90/90-21 ,150/70-17 ,,,4,Double Overhead Cams/Twin Cam (DOHC),,"Multiple-disc clutch in oil bath, mechanically operated",Endless O-ring chain with shock damping in rear wheel hub,4.30 litres/100 km (23.3 km/l or 54.70 mpg),99.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,EU-4,,26.0°,117 mm (4.6 inches),230 mm (9.1 inches),215 mm (8.5 inches),,,,,,,,,2.70 litres (0.71 US gallons),,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Softail Fat Bob,2018,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1745.0 ccm (106.48 cubic inches),"V2, four-stroke",86.0 HP (62.8  kW)) @ 5020 RPM,145.0 Nm (14.8 kgf-m or 107.0 ft.lbs) @ 3000 RPM,9.6:1,100.0 x 111.1 mm (3.9 x 4.4 inches),Air,6-speed,Belt   (final drive),,Telescopic fork,Twin shocks,Double disc. ABS. 4-piston. ,,Single disc. ABS. 2-piston.,"Denim black, Structure cast aluminum with laser etched graphics ",306.0 kg (674.6 pounds),"710 mm (28.0 inches) If adjustable, lowest setting.",,2340 mm (92.1 inches),,120 mm (4.7 inches),1690 mm (66.5 inches),13.60 litres (3.59 US gallons),"Vivid Black, Black Denim, Red Iron Denim, Bonneville Salt Denim, Industrial Gray Denim",Electric,,Injection. Electronic Sequential Port Fuel Injection,,150/80-16 ,180/70-B16 ,296.0 kg (652.6 pounds),"Milwaukee-Eight® 107, optional 114 Big Twin.",,Double Overhead Cams/Twin Cam (DOHC),,Multi-plate with diaphragm spring in oil bath,"Primary chain, 34/46 ratio",5.50 litres/100 km (18.2 km/l or 42.77 mpg),127.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,,2-into-1-into-2 dual side; catalyst in header ,28.0°,132 mm (5.2 inches),,,,0.2905 HP/kg,,"Tank-mounted electronic speedometer with odometer, time-of-day clock on odometer, dual tripmeter, RPM/gear display, fuel gauge with low fuel warning light and countdown feature, low oil pressure indicator light, engine diagnostics readout, LED indicator lights, 6-speed indicator light",,,"High beam, neutral, low oil pressure, turn signals, engine diagnostics, security system (optional), 6-speed, low fuel warnings",,,3.30 litres (3.49 US quarts),,,,,,,,,,,,,,,,,,,,,
KTM 300 EXC TPI,2018,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",293.2 ccm (17.89 cubic inches),"Single cylinder, two-stroke",,,,72.0 x 72.0 mm (2.8 x 2.8 inches),Liquid,6-speed,Chain   (final drive),Chrome-molybdenum steel central-tube,WP USD Ø 48 mm,WP Xplor PDS shock absorber,Single disc. Brake calipers on floating bearings ,220 mm (8.7 inches),Single disc. Brake calipers on floating bearings,CNC machined hubs and high-end Giant rims,,"960 mm (37.8 inches) If adjustable, lowest setting.",,,,355 mm (14.0 inches),1482 mm (58.3 inches),9.50 litres (2.51 US gallons),Orange/white/black,Electric & kick,,Injection,,,,103.0 kg (227.1 pounds),Reed intake. ,,,Synerject,"Wet, DDS multi-disc clutch, Brembo hydraulics",14:50 (13:50). Primary drive: 26:72.,,,,,26.5°,,300 mm (11.8 inches),335 mm (13.2 inches),,,,LCD display,,,,,,,,,,,,,,,,,,,,,,,,,,,
