Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Compression,Bore x stroke,Fuel system,Fuel control,Ignition,Lubrication system,Gearbox,Transmission type,Clutch,Driveline,Fuel consumption,Greenhouse gases,Emission details,Frame type,Rake (fork angle),Trail,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Wheels,"Weight incl. oil, gas, etc",Seat height,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Fuel capacity,Reserve fuel capacity,Oil capacity,Color options,Starter,Cooling system,Dry weight,Electrical,Top speed,Light,Factory warranty,Comments,Engine details,Valves per cylinder,Exhaust system,Power/weight ratio,Seat,Instruments,Carrying capacity,Alternate seat height,Engine oil,Brake fluid,Spark plugs,Idle speed,Tire pressure front,Tire pressure rear,Fork tube size,0-100 km/h (0-62 mph),Modifications compared to previous model,Max RPM,Coolant,Chain size,Chain links,Sprockets,"60-140 km/h (37-87 mph), highest gear",1/4 mile (0.4 km),Battery,Oil filter,Belt teeth,Belt width,Pulley teeth
Yamaha SCR 950,2020,Allround," 3.5  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",942.0 ccm (57.48 cubic inches),"V2, four-stroke",53.6 HP (39.2  kW)) @ 5500 RPM,79.5 Nm (8.1 kgf-m or 58.6 ft.lbs) @ 3000 RPM,9.0:1,85.0 x 83.0 mm (3.3 x 3.3 inches),Injection,Single Overhead Cams (SOHC),TCI,Wet sump,5-speed,Belt   (final drive),"Wet, Multiple Disc",Constant Mesh,5.10 litres/100 km (19.6 km/l or 46.12 mpg),118.3 CO2 g/km. (CO2 - Carbon dioxide emission) ,EU4,Double cradle,29.0°,130 mm (5.1 inches),"Telescopic forks,   41  mm",135 mm (5.3 inches),Swingarm,110 mm (4.3 inches),100/90-M19 ,140/80-R17 ,Single disc. Hydraulic. ,298 mm (11.7 inches),Single disc. Hydraulic. ,"Spoked wheels, aluminium rims",252.0 kg (555.6 pounds),"830 mm (32.7 inches) If adjustable, lowest setting.",1170 mm (46.1 inches),2255 mm (88.8 inches),895 mm (35.2 inches),145 mm (5.7 inches),1575 mm (62.0 inches),13.00 litres (3.43 US gallons),4.00 litres (1.06 US gallons),4.30 litres (4.54 US quarts),"Racing red, Yamaha Blue",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 350 EXC-F,2020,Enduro / offroad," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",349.7 ccm (21.34 cubic inches),"Single cylinder, four-stroke",,,,88.0 x 57.5 mm (3.5 x 2.3 inches),Injection,,Keihin EMS,,6-speed,Chain   (final drive),"Wet, DDS multi-disc clutch, Brembo hydraulics",5/8 x 1/4,3.83 litres/100 km (26.1 km/l or 61.42 mpg),88.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,Euro 4,Central-tube frame with double-cradle,26.5°,,WP USD Ø 48 mm,300 mm (11.8 inches),WP Xplor PDS shock absorber,310 mm (12.2 inches),,,Single disc. Brake calipers on floating bearings,220 mm (8.7 inches),Single disc. Brake calipers on floating bearings,,,"960 mm (37.8 inches) If adjustable, lowest setting.",,,,355 mm (14.0 inches),1482 mm (58.3 inches),9.20 litres (2.43 US gallons),,,Orange/white/black,Electric,Liquid,103.8 kg (228.8 pounds),196 W AC generator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motowell Darox 50,2020,Scooter," 3.7  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.3 ccm (3.01 cubic inches),"Single cylinder, four-stroke",3.8 HP (2.8  kW)) @ 7500 RPM,,,41.0 x 37.4 mm (1.6 x 1.5 inches),Injection,,CDI,,Automatic,Belt   (final drive),,CVT,,,,,,,Telescopic fork,,Single shock,,130/60-13 ,130/60-13 ,Single disc. Dual-piston,,Single disc,Aluminum rims,100.0 kg (220.5 pounds),,1105 mm (43.5 inches),1845 mm (72.6 inches),675 mm (26.6 inches),,1290 mm (50.8 inches),5.90 litres (1.56 US gallons),,1.00 litres (1.06 US quarts),"Light blue, white",Electric & kick,Air,,,45.0 km/h (28.0 mph),LED headlight,3 years,Hungarian brand. Also called Babo Motors. Sold in Europe.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki V-Strom 1050,2020,Super motard," 3.0  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",1037.0 ccm (63.28 cubic inches),"V2, four-stroke",100.0 HP (73.0  kW)) @ 8000 RPM,103.0 Nm (10.5 kgf-m or 76.0 ft.lbs) @ 4000 RPM,11.3:1,100.0 x 66.0 mm (3.9 x 2.6 inches),Injection,Double Overhead Cams/Twin Cam (DOHC),Electronic ignition (Transistorized),Wet sump,6-speed,Chain   (final drive),,Wet multiplate,3.99 litres/100 km (25.1 km/l or 58.95 mpg),92.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,25.7°,109 mm (4.3 inches),"Inverted telescopic, coil spring, oil damped",,"Link type, single shock, coil spring, oil damped",,110/80-R19 ,150/70-R17 ,Double disc. Tokico 4-piston calipers,260 mm (10.2 inches),"Single disc. Nissin, 2-piston",,236.0 kg (520.3 pounds),"850 mm (33.5 inches) If adjustable, lowest setting.",1515 mm (59.6 inches),2265 mm (89.2 inches),870 mm (34.3 inches),165 mm (6.5 inches),1555 mm (61.2 inches),20.00 litres (5.28 US gallons),,,Glass Sparkle Black/Solid Iron Gray,Electric,Liquid,,,,LED,12 month unlimited mileage,Traction Control,90-degree V-twin,4,Black Yoshimura Hepta Force silencer,,,,,,,,,,,,,,,,,,,,,,,,,,
Lifan CT-Ray,2020,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.6 ccm (7.60 cubic inches),"Single cylinder, four-stroke",8.7 HP (6.4  kW)) @ 7500 RPM,8.5 Nm (0.9 kgf-m or 6.3 ft.lbs) @ 6500 RPM,9.5:1,52.4 x 57.8 mm (2.1 x 2.3 inches),,,,,5-speed,Belt   (final drive),,,2.20 litres/100 km (45.5 km/l or 106.92 mpg),51.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,,80/90-12 ,3.5-10 ,Single disc,,Expanding brake (drum brake),,,"730 mm (28.7 inches) If adjustable, lowest setting.",1120 mm (44.1 inches),1810 mm (71.3 inches),680 mm (26.8 inches),,1215 mm (47.8 inches),6.00 litres (1.59 US gallons),,,Purple,Electric & kick,Air,115.0 kg (253.5 pounds),,88.0 km/h (54.7 mph),,,"Model id:LF125T-27P
Chinese brand",,2,,0.0758 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki Burgman 200,2020,Scooter," 3.4  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",200.0 ccm (12.20 cubic inches),"Single cylinder, four-stroke",,,11.0:1,69.0 x 53.4 mm (2.7 x 2.1 inches),Injection,Single Overhead Cams (SOHC),CDI,Wet Sump,Automatic,Belt   (final drive),"Dry shoe, automatic, centrifugal type",CVT,,,Catalyzer,Underbone,,,Telescopic oil-damped forks,,"Swingarm type, single shock, coil spring, oil damped",,110/90-13 ,130/70-12 ,Single disc. ABS. Two-piston caliper.,240 mm (9.4 inches),Single disc. ABS,,163.0 kg (359.4 pounds),"735 mm (28.9 inches) If adjustable, lowest setting.",1240 mm (48.8 inches),2055 mm (80.9 inches),740 mm (29.1 inches),,1465 mm (57.7 inches),10.50 litres (2.77 US gallons),,,Pearl Brilliant White,Electric,Liquid,150.0 kg (330.7 pounds),,,,12 month unlimited mileage limited warranty.,Wind-tunnel tested windscreen. Eco Drive Indicator.,,4,,,Two-person seat with integral rider’s backrest,"Instruments include speedometer, temperature and fuel gauges, high beam and turn signal indicators, and a digital clock",Under-seat storage can hold two full-face helmets.,,,,,,,,,,,,,,,,,,,,,,
Husqvarna Vitpilen 701,2020,Allround," 3.6  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",692.7 ccm (42.27 cubic inches),"Single cylinder, four-stroke",75.0 HP (54.7  kW)),74.0 Nm (7.5 kgf-m or 54.6 ft.lbs),,105.0 x 80.0 mm (4.1 x 3.1 inches),Injection,,,Forced oil lubrication with 2 Eaton pumps,6-speed,Chain   (final drive),Slipper clutch,,,,,Chromium-molybdenum steel trellis frame,,,WP upside-down Ø 43 mm,,WP shock absorber with linkage,135 mm (5.3 inches),,,Single disc. ABS. Brembo. Floating disc. Four-piston calipers. Radially mounted. ,240 mm (9.4 inches),Single disc. ABS. Brembo. Floating disc. Single-piston caliper. ,,,"830 mm (32.7 inches) If adjustable, lowest setting.",,,,140 mm (5.5 inches),,12.00 litres (3.17 US gallons),,,Silver/Blue,Electric,Liquid,157.0 kg (346.1 pounds),,,,,,,,,0.4777 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,
Beta RR  Motard 4T 125 LC,2020,Super motard," 3.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.7 ccm (7.61 cubic inches),"Single cylinder, four-stroke",,,11.2:1,52.0 x 58.6 mm (2.0 x 2.3 inches),Carburettor. Keihin PWK30,,AC Kokusan CDI,Forced with pump,5-speed,Chain   (final drive),Wet multi-disc clutch,,,,,Steel double cradle frame,,,Hydraulic fork with ø41 mm shaft,,Monoshock with progressive compound lever,,110/80-17 ,130/70-17 ,Single disc,240 mm (9.4 inches),Single disc,,,"886 mm (34.9 inches) If adjustable, lowest setting.",1185 mm (46.7 inches),2192 mm (86.3 inches),820 mm (32.3 inches),294 mm (11.6 inches),1439 mm (56.7 inches),7.30 litres (1.93 US gallons),2.10 litres (0.55 US gallons),,Red/White/Black,Kick,Air,108.0 kg (238.1 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lifan KP-200,2020,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,198.0 ccm (12.08 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 8000 RPM,16.9 Nm (1.7 kgf-m or 12.5 ft.lbs) @ 6500 RPM,11.0:1,65.5 x 58.8 mm (2.6 x 2.3 inches),Injection,Single Overhead Cams (SOHC),,,6-speed,Chain   (final drive),,,2.20 litres/100 km (45.5 km/l or 106.92 mpg),51.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,Telescopic fork,,Multi-segment adjustable central shock absorber,,100/80-17 ,130/70-17 ,Single disc,,Single disc,Aluminiumalloy  rims,,"775 mm (30.5 inches) If adjustable, lowest setting.",1080 mm (42.5 inches),2080 mm (81.9 inches),744 mm (29.3 inches),,,14.00 litres (3.70 US gallons),,,"Blue, Black, Red, Blue",Electric,Liquid,144.7 kg (319.0 pounds),,120.7 km/h (75.0 mph),,,Chinese brand model sold in US.,,2,,0.1175 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,
Quantya Light Bee,2020,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,,Electric,6.7 HP (4.9  kW)),26.0 Nm (2.7 kgf-m or 19.2 ft.lbs),,,,,,,1-speed,Chain   (final drive),,,,,,Trellis ,,,Telescopic fork,,Monoshock,,110/70-12 ,120/70-12 ,Single disc,,Single disc,,,"820 mm (32.3 inches) If adjustable, lowest setting.",1040 mm (40.9 inches),1870 mm (73.6 inches),780 mm (30.7 inches),,1367 mm (53.8 inches),,,,Grey/green,Electric,,50.0 kg (110.2 pounds),LiPo battery.,70.0 km/h (43.5 mph),,,Battery: Quantya LiPo. Capacity: 2 kWh. Range 100 km. Recharge Time: 2.5 hours(100%). Swiss made.,Brushless DC,,,0.1342 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,
