Model,Year,Category,Rating,Displacement,Engine type,Power,Compression,Bore x stroke,Fuel control,Frame type,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Rear brakes,Wheelbase,Fuel capacity,Top speed,Fuel system,Lubrication system,Cooling system,Gearbox,Clutch,Diameter,Dry weight,Power/weight ratio,Overall height,Overall length,Overall width,Starter,Transmission type,"Weight incl. oil, gas, etc",Wheels,Seat,Comments,Ignition,Valves per cylinder,Driveline,Exhaust system,Oil capacity,Color options,Electrical,Carrying capacity,Seat height,Engine details,Fuel consumption,Greenhouse gases,Modifications compared to previous model
Harley-Davidson XA,1942,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,740.0 ccm (45.15 cubic inches),"Twin, four-stroke",23.0 HP (16.8  kW)) @ 4600 RPM,5.7:1,77.8 x 77.8 mm (3.1 x 3.1 inches),Sidevalves,Tubular steel,Leading link ,Pluger rigid,4.00-18 ,4.00-18 ,Expanding brake (drum brake),Expanding brake (drum brake),1460 mm (57.5 inches),15.50 litres (4.10 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R12 Twin carb,1942,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,745.0 ccm (45.46 cubic inches),"Two cylinder boxer, four-stroke",20.0 HP (14.6  kW)) @ 4000 RPM,5.2:1,78.0 x 78.0 mm (3.1 x 3.1 inches),Overhead Valves (OHV),Steel-doble cradle,Cartrige,Rigid-,3.50-19 ,3.5-19 ,Expanding brake (drum brake). Single,Expanding brake (drum brake),,14.00 litres (3.70 US gallons),120.0 km/h (74.6 mph),Carburettor. Amal,Wet sump ,Air,4-speed,Dry multiplate-cable operated,200 mm (7.9 inches),185.0 kg (407.9 pounds),0.1081 HP/kg,940 mm (37.0 inches),2100 mm (82.7 inches),900 mm (35.4 inches),Kick,,,,,,,,,,,,,,,,,,
Indian 841,1942,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,737.0 ccm (44.97 cubic inches),"V2, four-stroke",,,73.0 x 89.0 mm (2.9 x 3.5 inches),Sidevalves,,Girder fork coil springs and shock absorber,Plungertype with coil springs,,,Expanding brake (drum brake),Expanding brake (drum brake),,18.93 litres (5.00 US gallons),113.0 km/h (70.2 mph),Carburettor. Linkert,,Air,,,,,,,,,,Shaft drive (cardan)   (final drive),240.0 kg (529.1 pounds),,,,,,,,,,,,,,,,
Harley-Davidson Servi-Car GE,1942,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,740.0 ccm (45.15 cubic inches),"V2, four-stroke",24.0 HP (17.5  kW)) @ 4400 RPM,,70.0 x 97.0 mm (2.8 x 3.8 inches),Sidevalves,,Leading link-Springer type,,5.10-16 ,5.10-16 ,Expanding brake (drum brake),Expanding brake (drum brake),1549 mm (61.0 inches),12.87 litres (3.40 US gallons),101.0 km/h (62.8 mph),,,,,,,,,,2540 mm (100.0 inches),1219 mm (48.0 inches),,,,Spoked,Single spring-mounted,,,,,,,,,,,,,,
Moto Guzzi Alce,1942,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,500.0 ccm (30.51 cubic inches),"Single cylinder, four-stroke",13.2 HP (9.6  kW)) @ 4000 RPM,4.7:1,82.0 x 88.0 mm (3.2 x 3.5 inches),,,,,,,Expanding brake (drum brake),Expanding brake (drum brake),1455 mm (57.3 inches),13.50 litres (3.57 US gallons),90.0 km/h (55.9 mph),Carburettor. DellÓrto ,,Air,,,,179.0 kg (394.6 pounds),0.0737 HP/kg,,,,Kick,Chain   (final drive),,,Two single seats,,,,,,,,,,,,,,
Harley-Davidson Model WLA,1942,Allround," 3.8  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",740.0 ccm (45.15 cubic inches),"V2, four-stroke",,,,Sidevalves,,Leading link -coil springs,Rigid-,,,Expanding brake (drum brake),Expanding brake (drum brake),,,,Carburettor. Linkert,,,,,,244.9 kg (540.0 pounds),,,,,,Chain   (final drive),,,,"This bike was produced to US Army specifications 
World War II.",,,,,,,,,,,,,
Nimbus 2510,1942,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,750.0 ccm (45.77 cubic inches),"In-line four, four-stroke",,,,Overhead Cams (OHC),,Telescopic,,,,,,,,,,,,3-speed,,,,,,,,,,,,Two single seats,,,,,,,,,,,,,,
Crocker Twin,1942,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1000.0 ccm (61.02 cubic inches),"V2, four-stroke",,,,Overhead Valves (OHV),,,,,,Expanding brake (drum brake),Expanding brake (drum brake),,,177.0 km/h (110.0 mph),Carburettor,,Oil & air,,,,,,,,,,Chain   (final drive),,Spoked,Single spring-mounted,,,,,,,,,,,,,,
Rikuo RT 2,1942,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,750.0 ccm (45.77 cubic inches),"V2, four-stroke",22.0 HP (16.1  kW)) @ 4250 RPM,,,Sidevalves,,Telescopic,,,,,,,,,Carburettor. Linkert,,Air,4-speed,Four speed ,,230.0 kg (507.1 pounds),0.0957 HP/kg,,,,,,,,Spring-mounted seat,,Generator and battery,,,,,,,,,,,,
Indian 402,1942,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1265.0 ccm (77.19 cubic inches),"In-line four, four-stroke",,,,,Twin downtube,Trailing link,Plungers,,,Expanding brake (drum brake),Expanding brake (drum brake),,,153.0 km/h (95.1 mph),Carburettor,,,,,,,,,,,,,,Spoked,Single spring-mounted,,,,,,,,,,,,,,
Ariel W-NG 350,1942,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,346.0 ccm (21.11 cubic inches),"Single cylinder, four-stroke",17.0 HP (12.4  kW)) @ 5800 RPM,,72.0 x 85.0 mm (2.8 x 3.3 inches),Overhead Valves (OHV),,Grider fork,Rigid,3.25-19 ,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),,11.90 litres (3.14 US gallons),,Carburettor,Dry sump,Air,4-speed,,,169.0 kg (372.6 pounds),0.1008 HP/kg,,2130 mm (83.9 inches),,Kick,Chain   (final drive),,Wire spoked,Spring loaded solo seat,,Coil,2,Burman gear-box,1-into-1 pipes,2.30 litres (2.43 US quarts),"Military green, Red",6V battery.,Rear rack,,,,,
Indian Chief,1942,Custom / cruiser," 3.1  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1210.0 ccm (73.83 cubic inches),"V2, four-stroke",,,83.0 x 113.0 mm (3.3 x 4.4 inches),,,Telescopic,Plungertype with coil springs,,,Expanding brake (drum brake),Expanding brake (drum brake),1540 mm (60.6 inches),,,Carburettor. Linkert,,,,,,,,,,,,Chain   (final drive),,,,,,,,,,,,,,,,,
Velocette KTT,1942,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,348.0 ccm (21.23 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 6500 RPM,,,Overhead Cams (OHC),,Webb girder forks,Swingarm,,,Expanding brake (drum brake),Expanding brake (drum brake),,15.14 litres (4.00 US gallons),185.1 km/h (115.0 mph),,,Air,,Four speed ,70 mm (2.8 inches),,,,,,,,,,Dual seat,,,,,,0.90 litres (0.95 US quarts),,,,,,,,
Velocette Mac ,1942,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,349.0 ccm (21.30 cubic inches),"Single cylinder, four-stroke",18.0 HP (13.1  kW)) @ 5500 RPM,6.8:1,68.0 x 96.0 mm (2.7 x 3.8 inches),Overhead Valves (OHV),Single cradle,Hydralic telescopic forks,Swingarm,3.25-19 ,3.50-19 ,Expanding brake (drum brake),Expanding brake (drum brake),1276 mm (50.2 inches),11.00 litres (2.91 US gallons),120.7 km/h (75.0 mph),Carburettor,,Air,4-speed,Wet multiplate,152 mm (6.0 inches),161.0 kg (354.9 pounds),0.1118 HP/kg,990 mm (39.0 inches),2130 mm (83.9 inches),700 mm (27.6 inches),Kick,Chain   (final drive),,,Dual seat,,,,,,,,,,"700 mm (27.6 inches) If adjustable, lowest setting.",,,,
Ariel 4G Square Four 1000,1942,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,995.0 ccm (60.71 cubic inches),Square four cylinder,35.0 HP (25.5  kW)) @ 5500 RPM,6.0:1,65.0 x 78.0 mm (2.6 x 3.1 inches),Overhead Valves (OHV),Tubular single loop,Telescopic fork,Plunger-link spring,3.25-19 ,4.00-18 ,Expanding brake (drum brake),Expanding brake (drum brake),1422 mm (56.0 inches),23.00 litres (6.08 US gallons),140.0 km/h (87.0 mph),Carburettor. SU MC2 carburettor,,Air,4-speed,,178 mm (7.0 inches),,,,2083 mm (82.0 inches),,Kick,Chain   (final drive),211.0 kg (465.2 pounds),Wire spoked,Solo seat with springs,Also called ´Squariel´. Designed by Edward Turner.,,2,,,,,,,,Double twin cylinder arranged as a square,,,
BMW R12 Single Carb,1942,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,745.0 ccm (45.46 cubic inches),"Two cylinder boxer, four-stroke",18.0 HP (13.1  kW)) @ 3400 RPM,5.2:1,78.0 x 78.0 mm (3.1 x 3.1 inches),Standing valves,Steel-pressed-loop,Telescopic fork,Rigid-,3.5-19 ,3.5-19 ,Expanding brake (drum brake),Expanding brake (drum brake),1380 mm (54.3 inches),14.00 litres (3.70 US gallons),110.0 km/h (68.4 mph),Carburettor,Forced feed,,,,200 mm (7.9 inches),,,940 mm (37.0 inches),2100 mm (82.7 inches),900 mm (35.4 inches),Kick,,,,,,Magneto,,,,,,,,,,3.40 litres/100 km (29.4 km/l or 69.18 mpg),78.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,
Simplex Automatic,1942,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,130.0 ccm (7.93 cubic inches),"Single cylinder, two-stroke",4.0 HP (2.9  kW)) @ 4000 RPM,6.5:1,50.8 x 64.3 mm (2.0 x 2.5 inches),Overhead Valves (OHV),Duplex loop,Short rocker arms and two coil springs,Rigid,2.50-26 ,2.50-26 ,,,1194 mm (47.0 inches),9.46 litres (2.50 US gallons),,Carburettor. Tillottson,,,,,,61.2 kg (135.0 pounds),0.0653 HP/kg,,,,,Belt   (final drive),,,Solo seat with springs,,Magneto and dual spark plugs,,,,,,,,,,,,This year the transmission is direct drive and no clutch.
Velocette KTT Mk VIII,1942,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,348.4 ccm (21.26 cubic inches),"Single cylinder, four-stroke",35.0 HP (25.5  kW)) @ 5800 RPM,7.8:1,74.0 x 81.0 mm (2.9 x 3.2 inches),Overhead Valves (OHV),Single cradle,,,,,Expanding brake (drum brake),Expanding brake (drum brake),,11.40 litres (3.01 US gallons),185.0 km/h (115.0 mph),Carburettor. Amal,Dry sump,Air,,Wet multiplate,,,,,,,Kick,Chain   (final drive),,Spoked,Dual ,,Bobine,,,Single -Chrome,,Multicolored. Black with gold pin striping,,,,,,,
Zündapp KS 750 Kardan Sport,1942,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,751.0 ccm (45.83 cubic inches),"Two cylinder boxer, two-stroke",26.0 HP (19.0  kW)) @ 4000 RPM,,75.0 x 85.0 mm (3.0 x 3.3 inches),,,,Rigid,4.50-16 ,4.50-16 ,Expanding brake (drum brake),Expanding brake (drum brake),,23.00 litres (6.08 US gallons),95.0 km/h (59.0 mph),Carburettor,,Air,,,,420.0 kg (925.9 pounds),0.0619 HP/kg,,,,Kick,Shaft drive (cardan)   (final drive),,Spoked,Two single seats,,,,,,,,,840kg with sidecar,,,6.50 litres/100 km (15.4 km/l or 36.19 mpg),150.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,
Ariel VH 500 Red Hunter,1942,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,497.0 ccm (30.33 cubic inches),"Single cylinder, four-stroke",24.0 HP (17.5  kW)) @ 6000 RPM,6.0:1,86.4 x 85.0 mm (3.4 x 3.3 inches),Overhead Valves (OHV),Semi double cradle,Grider forks,Rigid,3.00-20 ,3.25-19 ,Expanding brake (drum brake),Expanding brake (drum brake),1422 mm (56.0 inches),13.25 litres (3.50 US gallons),,Carburettor. Amal monoblock,Dry sump with dual plunger pumps,Air,4-speed,Dry,,190.0 kg (418.9 pounds),0.1263 HP/kg,,2180 mm (85.8 inches),640 mm (25.2 inches),Kick,Chain   (final drive),170.1 kg (375.0 pounds),Wire spoked. ,,,,,Burman,,3.40 litres (3.59 US quarts),,6V battery.,,,,,,
