Model,Year,Category,Rating,Displacement,Engine type,Compression,Bore x stroke,Valves per cylinder,Fuel system,Fuel control,Cooling system,Transmission type,Driveline,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Seat height,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Fuel capacity,Color options,Starter,Factory warranty,Engine details,Power,Torque,Top speed,Max RPM,Gearbox,Clutch,Fuel consumption,Greenhouse gases,Emission details,Frame type,Rake (fork angle),Diameter,Wheels,Seat,Dry weight,Power/weight ratio,Instruments,Electrical,Comments,Lubrication system,Trail,Alternate seat height,Oil capacity,Light,Carrying capacity,Engine oil,Brake fluid,Coolant,Idle speed,Tire pressure front,Tire pressure rear,Fork tube size,Exhaust system,Ignition,Reserve fuel capacity,Service interval,Modifications compared to previous model,Sprockets,Spark plugs,Chain size,Chain links,0-100 km/h (0-62 mph),Battery,Oil filter,Pulley teeth,"60-140 km/h (37-87 mph), highest gear",Belt teeth,1/4 mile (0.4 km)
Yamaha Grizzly 90,2022,ATV,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,90.0 ccm (5.49 cubic inches),"Single cylinder, four-stroke",9.2:1,47.0 x 51.8 mm (1.9 x 2.0 inches),2,Carburettor. 13 mm,Overhead Cams (OHC),Air,Chain   (final drive),"Continuously Variable Transmission; F, N, R",Single A-arm,127 mm (5.0 inches),Monoshock swingarm,145 mm (5.7 inches),19/7-8 ,18/9-8 ,Expanding brake (drum brake),Expanding brake (drum brake),139.7 kg (308.0 pounds),"729 mm (28.7 inches) If adjustable, lowest setting.",1006 mm (39.6 inches),1562 mm (61.5 inches),1031 mm (40.6 inches),104 mm (4.1 inches),1031 mm (40.6 inches),6.43 litres (1.70 US gallons),Armor Gray,Electric & kick,6 Month Limited Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sommer Diesel 516,2022,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,516.0 ccm (31.49 cubic inches),Diesel,20.5:1,93.0 x 76.0 mm (3.7 x 3.0 inches),2,Injection,,Air,Chain   (final drive),,Telescopi fork,150 mm (5.9 inches),Swing arm,120 mm (4.7 inches),3.25-19 ,3.50-19 ,Single disc. Optional drum brake,Expanding brake (drum brake),180.0 kg (396.8 pounds),"760 mm (29.9 inches) If adjustable, lowest setting.",,,,,1410 mm (55.5 inches),13.50 litres (3.57 US gallons),"Black, red, light blue, blue",Electric,2 year factory warranty,Hatz 1B50 single cylinder engine,12.0 HP (8.8  kW)) @ 3500 RPM,27.5 Nm (2.8 kgf-m or 20.3 ft.lbs) @ 2000 RPM,99.0 km/h (61.5 mph),4000,4-speed,5-plate in oil bath,2.50 litres/100 km (40.0 km/l or 94.09 mpg),58.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,Euro 4,Steel tube,25.0°,152 mm (6.0 inches),"Stainless steel rims, wire spoked",Single seat,165.0 kg (363.8 pounds),0.0727 HP/kg,Analogue instruments,Iskra 1 kW starter. Alternator 200W.,Modified Royal Enfield bike. Hand-made in Germany.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 1250 RT,2022,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",1254.0 ccm (76.52 cubic inches),"Two cylinder boxer, four-stroke",12.5:1,102.5 x 76.0 mm (4.0 x 3.0 inches),4,"Injection. Electronic port fuel injection, digital engine control: BMS-O with throttle by wire",Double Overhead Cams/Twin Cam (DOHC),Oil & air,Shaft drive (cardan)   (final drive),,"Upside-down telescopic fork, Ø 45 mm",120 mm (4.7 inches),"Cast aluminum single-sided swing arm with BMW Paralever; WAD strut (travel-related damping), spring pre-load hydraulically adjustable",136 mm (5.4 inches),120/70-ZR17 ,180/55-ZR17 ,Double disc. ABS. Floating discs. Four-piston calipers. ,Single disc. ABS. Floating disc. Two-piston calipers. ,,"805 mm (31.7 inches) If adjustable, lowest setting.",1255 mm (49.4 inches),2222 mm (87.5 inches),985 mm (38.8 inches),,1485 mm (58.5 inches),25.00 litres (6.61 US gallons),"Triple Black, Racing Blue Metallic, Alpine White, Mineral White Metallic

Mars Red metallic/Dark Slate Metallic, Manhattan Metallic, Alpine White, Opt. 719 Stardust Metallic, Opt.719 Blue pPanet Metallic/Ivory",Electric,"3-years or 36,000 miles warranty","Balancer shaft, variable intake camshaft control.",136.0 HP (99.3  kW)) @ 7750 RPM,143.0 Nm (14.6 kgf-m or 105.5 ft.lbs) @ 6250 RPM,199.6 km/h (124.0 mph),,6-speed,"Wet clutch with an anti-hopping function, hydraulic activation",4.70 litres/100 km (21.3 km/l or 50.05 mpg),109.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,Euro 5. Closed-loop 3-way catalytic converter.,"Two-section frame, front- and bolted on rear frame, load-bearing engine",25.5°,276 mm (10.9 inches),,,225.9 kg (498.0 pounds),0.6021 HP/kg,10.25-inch color TFT instrument cluster with connectivity and integrated map navigation,"12 V / 11.8 Ah, maintenance-free battery","Traction control. 3 Ride Modes (ECO, Rain and Road). Windshield.",Dry sump,100 mm (3.9 inches),"826 mm (32.5 inches) If adjustable, highest setting.",4.00 litres (4.23 US quarts),LED headlight,18.4 gallons storage,SAE 5W-40,DOT 4,2.00 litres (0.53 US gallons),1050  +/- 100  RPM,36 PSI (2.5 Bar or 250 kPa),42 PSI (2.9 Bar or 290 kPa),37 mm (1.5 inches),,,,,,,,,,,,,,,,
Suzuki Boulevard C90T,2022,Touring,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1462.0 ccm (89.21 cubic inches),"V2, four-stroke",9.5:1,96.0 x 101.0 mm (3.8 x 4.0 inches),4,Injection. Suzuki Dual Throttle Valve System ,Single Overhead Cams (SOHC),Liquid,Shaft drive (cardan)   (final drive),Constant mesh,"Telescopic, coil spring, oil damped",130 mm (5.1 inches),"Link style, solo shock, coil spring, oil damped",108 mm (4.3 inches),130/80-17 ,200/60-16 ,Single disc,Single disc,363.0 kg (800.3 pounds),"720 mm (28.3 inches) If adjustable, lowest setting.",1440 mm (56.7 inches),2560 mm (100.8 inches),990 mm (39.0 inches),140 mm (5.5 inches),1675 mm (65.9 inches),18.20 litres (4.81 US gallons),Metallic Mystic Silver,Electric,12 month unlimited mileage limited warranty.,54-degree V-twin. Aluminum-alloy cylinder plated with Suzuki Composite Electrochemical Material (SCEM).,58.0 HP (42.3  kW)) @ 4800 RPM,131.0 Nm (13.4 kgf-m or 96.6 ft.lbs) @ 2600 RPM,,,5-speed,,,,,Steel-tube frame,,275 mm (10.8 inches),,,,,,,Windscreen,Wet sump,,,,12V 60/55W H4 headlight,Saddlebags,,,,,,,,Chromed and staggered dual-exhaust system mounted on the right side.,,,,,,,,,,,,,,,
Tao Motor Rhino 250,2022,ATV,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,197.0 ccm (12.02 cubic inches),"Single cylinder, four-stroke",,,,Carburettor,,Air,Chain   (final drive),,15.7 inches,,13.4 inches,,23/7-10 ,22/10-10 ,Expanding brake (drum brake),Single disc,,"810 mm (31.9 inches) If adjustable, lowest setting.",1100 mm (43.3 inches),1760 mm (69.3 inches),1069 mm (42.1 inches),135 mm (5.3 inches),1115 mm (43.9 inches),4.16 litres (1.10 US gallons),"Red, blue, camo",Electric,,,,8.5 Nm (0.9 kgf-m or 6.3 ft.lbs) @ 5000 RPM,,,4-speed,,,,,,,,,,,,,"12V, 9Ah battery.","Chinese brand, sometimes called TaoTao. ATV sold in the US and Canada.",,,,291.50 litres (308.03 US quarts),,Front and rear rack,,,,,,,,,CDI,,,,,,,,,,,,,,
Husqvarna FE 501s,2022,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,510.4 ccm (31.14 cubic inches),"Single cylinder, four-stroke",12.2:1,95.0 x 72.0 mm (3.7 x 2.8 inches),,"Carburettor. Keihin, 42 mm",Single Overhead Cams (SOHC),Liquid,Chain   (final drive),X-ring 5/8 x 1/4 in chain,"WP XPLOR-USD, Ø 48 mm",300 mm (11.8 inches),WP XACT Monoshock with linkage,300 mm (11.8 inches),90/90-21 ,140/80-18 ,Single disc. Wave disk.,Single disc. Wave disk.,,"950 mm (37.4 inches) If adjustable, lowest setting.",,,,360 mm (14.2 inches),1482 mm (58.3 inches),9.00 litres (2.38 US gallons),White/grey/yellow,Electric,,Counter balance shaft,,,,,6-speed,"DDS wet multi-disc clutch, Braktec hydraulics",3.62 litres/100 km (27.6 km/l or 64.98 mpg),84.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,,Central double-cradle-type 25CrMo4 steel,26.5°,220 mm (8.7 inches),,,111.8 kg (246.5 pounds),,,Lithium-ion battery,,,,,,,,,,,,,,,,Keihin EMS,,,,,,,,,,,,,,
Yamaha R125,2022,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.7 ccm (7.61 cubic inches),"Single cylinder, four-stroke",11.2:1,52.0 x 58.6 mm (2.0 x 2.3 inches),4,Injection,Single Overhead Cams (SOHC),Liquid,Chain   (final drive),Constant mesh,"Upside-down telescopic fork, 41  mm",130 mm (5.1 inches),"Swingarm, link",114 mm (4.5 inches),110/80-17 ,140/70-17 ,Single disc,Single disc,144.0 kg (317.5 pounds),"825 mm (32.5 inches) If adjustable, lowest setting.",1065 mm (41.9 inches),1955 mm (77.0 inches),680 mm (26.8 inches),155 mm (6.1 inches),1355 mm (53.3 inches),11.50 litres (3.04 US gallons),"Icon Blue, Tech Black",Electric,,,14.8 HP (10.8  kW)) @ 10000 RPM,11.5 Nm (1.2 kgf-m or 8.5 ft.lbs) @ 8000 RPM,,,6-speed,"Wet, multiple-disc coil spring assist and slipper clutch",2.10 litres/100 km (47.6 km/l or 112.01 mpg),48.7 CO2 g/km. (CO2 - Carbon dioxide emission) ,Euro 5,"Steel deltabox, aluminum swingarm",25.0°,220 mm (8.7 inches),Y-spoke wheels,,,,LCD instruments,,,Wet sump,89 mm (3.5 inches),,1.20 litres (1.27 US quarts),LED headlight,,,,,,,,,,TCI,,,,,,,,,,,,,,
KTM RC 8C,2022,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,889.0 ccm (54.25 cubic inches),"Twin, four-stroke",13.5:1,90.7 x 68.8 mm (3.6 x 2.7 inches),,Injection. DKK Dell’Orto  ,,Liquid,Chain   (final drive),520 chain,WP XACT PRO 7543,120 mm (4.7 inches),WP APEX PRO 7746,120 mm (4.7 inches),120/70-ZR17 ,180/55-ZR17 ,"Double disc. 2 x Brembo Stylema Monobloc four piston, radially mounted caliper","Single disc. Brembo twin-piston floating calliper, brake disc",,"820 mm (32.3 inches) If adjustable, lowest setting.",,,,150 mm (5.9 inches),1476 mm (58.1 inches),16.00 litres (4.23 US gallons),Orange/black,Electric,,,126.1 HP (92.0  kW)) @ 9000 RPM,101.0 Nm (10.3 kgf-m or 74.5 ft.lbs) @ 8000 RPM,,,6-speed,"PASC™ antihopping clutch, mechanically operated",4.74 litres/100 km (21.1 km/l or 49.62 mpg),110.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,,"Chrome-molybdenum steel tubular space frame, powder-coated",24.3°,230 mm (9.1 inches),,,140.0 kg (308.6 pounds),0.9004 HP/kg,,,,Pressure lubrication with 2 oil pumps,99 mm (3.9 inches),,2.80 litres (2.96 US quarts),LED headlight,,,,,,,,,,Bosch EMS with RBW,3.50 litres (0.92 US gallons),,,,,,,,,,,,,
Vento Gladiator Reptile 200,2022,ATV,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,199.0 ccm (12.14 cubic inches),"Single cylinder, four-stroke",,,,Carburettor,,Air,Chain   (final drive),CVT,Telescopic fork,,Monoshock,,23/7-10 ,22/11-10 ,Expanding brake (drum brake),Single disc,142.0 kg (313.1 pounds),,1100 mm (43.3 inches),1760 mm (69.3 inches),1070 mm (42.1 inches),150 mm (5.9 inches),,5.00 litres (1.32 US gallons),Red/black,Electric,,,12.8 HP (9.3  kW)),,,,Automatic,,,,,,,,,,,,,,,,,,,,Front and rear rack,,,,,,,,,CDI,,,,,,,,,,,,,,
Factory Bike Pepper 370,2022,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,370.0 ccm (22.58 cubic inches),"Twin, four-stroke",,,,Carburettor,,Liquid,Chain   (final drive),,Inverted,,Double damper with nitrogen tank,,120/80-17 ,150/70-18 ,Double disc,Single disc,,"730 mm (28.7 inches) If adjustable, lowest setting.",1010 mm (39.8 inches),1930 mm (76.0 inches),790 mm (31.1 inches),,1430 mm (56.3 inches),,Black,Electric,,,25.0 HP (18.2  kW)),,,,,,,,,,,240 mm (9.4 inches),,,181.0 kg (399.0 pounds),0.1381 HP/kg,,,,Wet sump,,,,,,,,,,,,,,,,,,,,,,,,,,,,
