Model,Year,Category,Rating,Displacement,Engine type,Fuel system,Gearbox,Transmission type,Clutch,Seat,Light,Engine details,Power,Top speed,Compression,Bore x stroke,Fuel control,Ignition,Lubrication system,Cooling system,Fuel consumption,Greenhouse gases,Frame type,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Dry weight,Power/weight ratio,Overall length,Wheelbase,Fuel capacity,Wheels,Starter,"Weight incl. oil, gas, etc",Seat height,Overall height,Overall width,Oil capacity,Exhaust system,Carrying capacity,Valves per cylinder,Driveline,Color options,Comments
Scott Super Squirrel,1931,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,596.0 ccm (36.37 cubic inches),"Twin, two-stroke",Carburettor,3-speed,Chain   (final drive),Two-speed foot shift,Solo seat with springs,Actylene head and tail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 2 Series 1,1931,Classic,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,198.0 ccm (12.08 cubic inches),"Single cylinder, four-stroke",Carburettor. Sum carburettor 19 mm,3-speed,Shaft drive (cardan)   (final drive),"Single-plate, dry",,,M 67,6.0 HP (4.4  kW)) @ 3500 RPM,95.0 km/h (59.0 mph),6.7:1,63.0 x 64.0 mm (2.5 x 2.5 inches),Overhead Valves (OHV),Battery ignition,Forced-feed lubrication,Air,2.75 litres/100 km (36.4 km/l or 85.53 mpg),63.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,Pressed steel duplex frame,"Cantilever spring, 9 laminae",Rigit,3.00-25 ,3.00-25 ,Expanding brake (drum brake),180 mm (7.1 inches),Expanding brake (drum brake),122.0 kg (269.0 pounds),0.0492 HP/kg,1950 mm (76.8 inches),1320 mm (52.0 inches),11.00 litres (2.91 US gallons),,,,,,,,,,,,,
Sunbeam 95L Special,1931,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,493.0 ccm (30.08 cubic inches),"Single cylinder, four-stroke",Carburettor,,Chain   (final drive),,Single ,,,,,,,Overhead Valves (OHV),,,,,,,,,,,,,,,,,,,Spoked,,,,,,,,,,,,
NSU 501 SS,1931,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,494.0 ccm (30.14 cubic inches),"Single cylinder, four-stroke",Carburettor,,Chain   (final drive),,Single ,,,20.0 HP (14.6  kW)) @ 4800 RPM,125.0 km/h (77.7 mph),,80.0 x 99.0 mm (3.1 x 3.9 inches),,,,Air,,,,,,2.50-26 ,3.25-26 ,Expanding brake (drum brake),,Expanding brake (drum brake),158.0 kg (348.3 pounds),0.1266 HP/kg,,,11.00 litres (2.91 US gallons),Spoked,Kick,,,,,,,,,,,
Harley-Davidson Model DLD,1931,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,742.6 ccm (45.31 cubic inches),"V2, four-stroke",Carburettor,,Chain   (final drive),,Single spring-mounted,,,,,6.0:1,69.9 x 96.9 mm (2.8 x 3.8 inches),,,,,,,,,,3-26 ,3-26 ,Expanding brake (drum brake),,Expanding brake (drum brake),181.0 kg (399.0 pounds),,,,,Spoked,,,,,,,,,,,,
DKW Block 200,1931,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,192.0 ccm (11.72 cubic inches),"Single cylinder, two-stroke",Carburettor. Zweihebel-Framo B,4-speed,,,Solo seat with springs,,,,,,60.0 x 68.0 mm (2.4 x 2.7 inches),,Battery-,,Air,3.00 litres/100 km (33.3 km/l or 78.41 mpg),69.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,Pressed steel ,,None,3.5-25 ,3.5-25 ,Expanding brake (drum brake),,Expanding brake (drum brake),,,,1290 mm (50.8 inches),12.50 litres (3.30 US gallons),Spoked,,120.0 kg (264.6 pounds),,,,,,,,,,
Indian 101 Scout,1931,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,750.0 ccm (45.77 cubic inches),"V2, four-stroke",Carburettor,3-speed,Chain   (final drive),,,,,,,,,Sidevalves,,,,,,,,,,,,,,,,,,,,,167.8 kg (370.0 pounds),"667 mm (26.3 inches) If adjustable, lowest setting.",,,,,,,,,
Coventry Eagle Flying 350,1931,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,348.0 ccm (21.23 cubic inches),"Single cylinder, four-stroke",Carburettor,,Chain   (final drive),,Single seat,,,,97.0 km/h (60.3 mph),,,Sidevalves,,,Air,,,,,,,,Expanding brake (drum brake),,Expanding brake (drum brake),,,,,,,,,,,,,,,,,,
NSU 501 TS,1931,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,494.0 ccm (30.14 cubic inches),"Single cylinder, four-stroke",Carburettor. Amac,,Chain   (final drive),,,,,11.0 HP (8.0  kW)) @ 4000 RPM,100.0 km/h (62.1 mph),,80.0 x 99.0 mm (3.1 x 3.9 inches),,Magneto Bosch,,Air,,,Double steel,,,3.50-26 ,4-27 ,Expanding brake (drum brake),,Expanding brake (drum brake),185.0 kg (407.9 pounds),0.0595 HP/kg,2100 mm (82.7 inches),1390 mm (54.7 inches),13.00 litres (3.43 US gallons),,Kick,,,1040 mm (40.9 inches),830 mm (32.7 inches),2.00 litres (2.11 US quarts),,,,,,
Harley-Davidson Model S,1931,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,345.0 ccm (21.05 cubic inches),"Single cylinder, two-stroke",Carburettor,,Chain   (final drive),,Single ,,,,137.0 km/h (85.1 mph),,,Overhead Valves (OHV),,,,,,,,,2.5-28 ,2.5-28 ,,,,,,,,,Spoked,,,,,,,No pipes,,,,,
