Model,Year,Category,Rating,Displacement,Engine type,Compression,Bore x stroke,Fuel system,Fuel control,Ignition,Lubrication system,Cooling system,Gearbox,Transmission type,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Rear brakes,Seat height,Overall height,Overall length,Overall width,Wheelbase,Fuel capacity,Color options,Starter,Engine details,Power,Torque,Driveline,Exhaust system,Frame type,Wheels,Dry weight,Power/weight ratio,Comments,Valves per cylinder,Clutch,Rake (fork angle),Trail,Front wheel travel,Rear wheel travel,Diameter,Reserve fuel capacity,Fuel consumption,Greenhouse gases,"Weight incl. oil, gas, etc",Ground clearance,Factory warranty,Top speed,Seat,Light,Emission details,Electrical,Oil capacity,Instruments,Alternate seat height,Carrying capacity,0-100 km/h (0-62 mph),Modifications compared to previous model,Spark plugs,Max RPM,Engine oil,Brake fluid,Coolant,Fork tube size,Idle speed,Tire pressure front,Tire pressure rear,Front percentage of weight,Chain links,Sprockets,Battery
Suzuki GSX650F ABS,2013,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",656.0 ccm (40.03 cubic inches),"In-line four, four-stroke",11.5:1,65.5 x 48.7 mm (2.6 x 1.9 inches),Injection. Fuel-injection,Double Overhead Cams/Twin Cam (DOHC),Electronic ignition (transistorised),Wet sump,Liquid,6-speed,Chain   (final drive),"Telescopic, coil spring, oil damped","Link type, coil spring, oil damped",120/70-ZR17 ,160/60-ZR17 ,Double disc. ABS,Single disc. ABS,"790 mm (31.1 inches) If adjustable, lowest setting.",1235 mm (48.6 inches),2130 mm (83.9 inches),760 mm (29.9 inches),1470 mm (57.9 inches),19.00 litres (5.02 US gallons),"Metallic Triton Blue/Glass Splash White
",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Travertson V-Rex,2013,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1250.0 ccm (76.28 cubic inches),"V2, four-stroke",11.3:1,97.5 x 72.1 mm (3.8 x 2.8 inches),Injection,Single Overhead Cams (SOHC),,,Air,,Belt   (final drive),Aluminium twin swing arms and fully adjustable hydraulic monoshock,Aluminium single sided swing arms and fully adjustable hydraulic  dual shock,140/70-18 ,280/30-18 ,Single disc. 6-piston inverted caliper,"Single disc. 2-piston caliper, floating disk","660 mm (26.0 inches) If adjustable, lowest setting.",,,,2010 mm (79.1 inches),18.20 litres (4.81 US gallons),"Orange/silver, custom colors",Electric,Harley-Davidson V-Rod engine,120.0 HP (87.6  kW)),100.3 Nm (10.2 kgf-m or 74.0 ft.lbs) @ 7000 RPM,Gear primary drive,Two-into-one,Steel tubing and cast aluminium,Aluminium,304.0 kg (670.2 pounds),0.3947 HP/kg,Made in the US.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia Dorsoduro 1200 ABS,2013,Super motard," 2.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",1197.0 ccm (73.04 cubic inches),"V2, four-stroke",12.0:1,106.0 x 67.8 mm (4.2 x 2.7 inches),"Injection. Integrated engine management system. Injection system with triple map Ride by Wire throttle management: Sport (S), Touring (T), Rain (R) ",Double Overhead Cams/Twin Cam (DOHC),"Digital electronic, integrated in the fuel injection system.",Wet sump,Liquid,6-speed,Chain   (final drive),Sachs upside-down front fork with fully adjustable compression and rebound damping and spring preload. Wheel travel 160 mm. ,Aluminium alloy swingarm Piggy-back design Sachs hydraulic shock absorber with fully adjustable compression and rebound damping and spring preload. Wheel travel 155 mm. ,120/70-ZR17 ,180/55-ZR17 ,Double disc. ABS,Single disc. ABS,"870 mm (34.3 inches) If adjustable, lowest setting.",1205 mm (47.4 inches),2248 mm (88.5 inches),925 mm (36.4 inches),1528 mm (60.2 inches),15.00 litres (3.96 US gallons),"Fluo red, Glam white",Electric,Longitudinal 90° V-twin,130.0 HP (94.9  kW)) @ 8700 RPM,115.0 Nm (11.7 kgf-m or 84.8 ft.lbs) @ 7500 RPM,"Primary drive: Straight cut gears, drive ratio: 40/69.  Final drive: Chain. Drive ratio: 16/40.",Stainless steel 2-into-2 exhaust system with dual catalytic converters and oxygen sensor. ,Ultralight modular frame made from tubular steel trellis/aluminium castings. Removable rear aluminium subframe,Aluminium alloy Front: 3.50 X 17´ Rear: 6.00 x 17´ ,,,Two channel Continental ABS with Aprilia Traction Control.,4,Hydraulically operated multi-plate wet clutch.,27.3°,118 mm (4.6 inches),160 mm (6.3 inches),155 mm (6.1 inches),240 mm (9.4 inches),3.50 litres (0.92 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha WR250X,2013,Super motard," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",250.0 ccm (15.26 cubic inches),"Single cylinder, four-stroke",11.8:1,77.0 x 53.6 mm (3.0 x 2.1 inches),Injection,Double Overhead Cams/Twin Cam (DOHC),Direct ignition coil,,Liquid,6-speed,Chain   (final drive),Inverted fork,Single shock,110/70-17 ,140/70-17 ,Single disc. Hydraulic disc. Hydraulic disc. ,Single disc,"894 mm (35.2 inches) If adjustable, lowest setting.",1191 mm (46.9 inches),2111 mm (83.1 inches),810 mm (31.9 inches),1425 mm (56.1 inches),7.57 litres (2.00 US gallons),White/Black,Electric,,,,,,,,,,,4,,28.0°,,269 mm (10.6 inches),264 mm (10.4 inches),230 mm (9.1 inches),,3.31 litres/100 km (30.2 km/l or 71.06 mpg),76.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,137.0 kg (302.0 pounds),259 mm (10.2 inches),1 Year (Limited Factory Warranty),,,,,,,,,,,,,,,,,,,,,,,,
Sachs SpeedJet R,2013,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",,,Carburettor,,,,Air,Automatic,Belt   (final drive),,,120/70-12 ,120/70-12 ,Single disc. Wave disc,Expanding brake (drum brake),"800 mm (31.5 inches) If adjustable, lowest setting.",,1870 mm (73.6 inches),700 mm (27.6 inches),1320 mm (52.0 inches),6.00 litres (1.59 US gallons),"Black/white, blue/white",Electric,,3.8 HP (2.8  kW)) @ 8000 RPM,,CVT variomatic,,Steel,6-spoke wheels,87.0 kg (191.8 pounds),0.0437 HP/kg,German brand. Also called SFM-bikes.,,,,,,,,,,,,,,45.0 km/h (28.0 mph),Two person seat,Dual headlights,,,,,,,,,,,,,,,,,,,,,
Kymco Mongoose 300,2013,ATV,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,270.0 ccm (16.48 cubic inches),"Single cylinder, four-stroke",,,Carburettor,Single Overhead Cams (SOHC),,Wet sump,Liquid,Automatic,Belt   (final drive),Dual A-arm,Link arm,21/7-10 ,20/11-9 ,Single disc,Single disc,"813 mm (32.0 inches) If adjustable, lowest setting.",1067 mm (42.0 inches),1930 mm (76.0 inches),1041 mm (41.0 inches),,12.87 litres (3.40 US gallons),"Red, Black",Electric,,18.3 HP (13.4  kW)),,"Automatic CVT w/forward, neutral  and  reverse",,,Aluminum Wheels,178.0 kg (392.4 pounds),0.1028 HP/kg,,,,,,,,,,,,,,One-Year Limited Factory Warranty,,,Headlight and Taillight,C.A.R.B. Certified,,,,,,,,,,,,,,,,,,,,
Aprilia RS 50,2013,Sport," 2.0  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",49.9 ccm (3.04 cubic inches),"Single cylinder, two-stroke",11.5:1,39.9 x 40.0 mm (1.6 x 1.6 inches),Carburettor. Dell’Orto PHVA - Ø14,,Elettronica C.D.I.,Automatic mixer,Liquid,6-speed,Chain   (final drive),40 mm upside down fork,Double reinforced member aluminium swingarm with bracing arch,110/80-17 ,130/70-17 ,Single disc. Radial caliper with two 28 mm opposed pistons,Single disc,"820 mm (32.3 inches) If adjustable, lowest setting.",1138 mm (44.8 inches),1965 mm (77.4 inches),720 mm (28.3 inches),1310 mm (51.6 inches),13.00 litres (3.43 US gallons),Glam white,Electric,,,,Primary drive: Gears. Ratio: 21/78.  Final drive: Chain. Ratio: 14/53,,Twin spar aluminium frame ,,,,,,Multi-plate,,,120 mm (4.7 inches),110 mm (4.3 inches),180 mm (7.1 inches),,,,,,,,,,Euro 2,Battery: 12V – 4Ah ,,,,,,,,,,,,,,,,,,,
Ducati Diavel Cromo,2013,Naked bike," 3.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1198.4 ccm (73.13 cubic inches),"V2, four-stroke",11.5:1,106.0 x 67.9 mm (4.2 x 2.7 inches),"Injection. Mitsubishi electronic fuel injection system, Mikuni elliptical throttle bodies with RbW",Desmodromic valve control,,,Liquid,6-speed,Chain   (final drive),Marzocchi 50mm fully adjustable usd forks,Progressive linkage with fully adjustable Sachs monoshock. Remote spring preload adjustment. Aluminium single-sided swingarm.,120/70-ZR17 ,240/45-ZR17 ,Double disc. ABS. Floating discs. Four-piston calipers. Radially mounted. ,Single disc. ABS. Floating disc. Two-piston calipers. ,"770 mm (30.3 inches) If adjustable, lowest setting.",,,,1590 mm (62.6 inches),17.00 litres (4.49 US gallons),Black/chrome,Electric,,162.0 HP (118.2  kW)) @ 9500 RPM,127.5 Nm (13.0 kgf-m or 94.0 ft.lbs) @ 8000 RPM,"Front sprocket 15; Rear sprocket 43. Primary drive: Straight cut gears, ratio 1.84.",Lightweight 2-1-2 system with catalytic converter and two lambda probes. Twin aluminium mufflers,Tubular steel Trellis frame,,210.0 kg (463.0 pounds),0.7714 HP/kg,,4,"Light action, wet, multiplate clutch with hydraulic control. Self-servo action on drive, slipper action on over-run.",28.0°,130 mm (5.1 inches),,,265 mm (10.4 inches),,,,,,24 months unlimited mileage,,,,Euro 3,,,,,,,,,,,,,,,,,,,,
Yamaha FJR1300AS,2013,Sport touring,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,1298.0 ccm (79.20 cubic inches),"In-line four, four-stroke",10.8:1,79.0 x 66.2 mm (3.1 x 2.6 inches),Injection,Double Overhead Cams/Twin Cam (DOHC),TCI: Transistor Controlled Ignition,,Liquid,5-speed,Shaft drive (cardan)   (final drive),"Upside-down telescopic fork, Ø 48 mm tube, adjustable preload, compression and rebound damping",Linked monoshock with spring preload adjustment,120/70-ZR17 ,180/55-ZR17 ,Double disc. Hydraulic,Single disc. Hydraulic,"805 mm (31.7 inches) If adjustable, lowest setting.",1326 mm (52.2 inches),2230 mm (87.8 inches),749 mm (29.5 inches),1544 mm (60.8 inches),24.98 litres (6.60 US gallons),"Bronze, black",Electric,,107.5 HP (78.5  kW)) @ 8000 RPM,138.0 Nm (14.1 kgf-m or 101.8 ft.lbs) @ 7000 RPM,Constant mesh,,"Aluminium, Diamond Shaped",,,,Windshield.,4,,26.0°,109 mm (4.3 inches),135 mm (5.3 inches),125 mm (4.9 inches),282 mm (11.1 inches),,6.53 litres/100 km (15.3 km/l or 36.02 mpg),151.5 CO2 g/km. (CO2 - Carbon dioxide emission) ,296.0 kg (652.6 pounds),130 mm (5.1 inches),,,,,,,4.90 litres (5.18 US quarts),,,,,,,,,,,,,,,,,,
Yamaha Star Raider SCL,2013,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1851.9 ccm (113.00 cubic inches),"V2, four-stroke",9.5:1,100.0 x 118.0 mm (3.9 x 4.6 inches),Injection. Twin-Bore electronic fuel injection; throttle position sensor,Overhead Valves (OHV),TCI: Transistor Controlled Ignition,,Air,5-speed,Belt   (final drive),Telescopic fork,Swingarm,120/70-M ,210/40-M18 ,Double disc. Hydraulic. ,Single disc. Hydraulic. ,"696 mm (27.4 inches) If adjustable, lowest setting.",1166 mm (45.9 inches),2570 mm (101.2 inches),925 mm (36.4 inches),1801 mm (70.9 inches),15.90 litres (4.20 US gallons),Crimson Red/Intense Black,Electric,48° V-twin,,,,,Double cradle,Custom 5-spoke chrome,,,,4,,,,130 mm (5.1 inches),89 mm (3.5 inches),310 mm (12.2 inches),,5.60 litres/100 km (17.9 km/l or 42.00 mpg),129.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,340.2 kg (750.0 pounds),145 mm (5.7 inches),1 Year (Limited Factory Warranty),,,,,,,,,,,,,,,,,,,,,,,,
