Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Bore x stroke,Fuel system,Cooling system,Transmission type,Frame type,Front tire,Rear tire,Seat,"Weight incl. oil, gas, etc",Ignition,Front suspension,Wheels,Gearbox,Rear suspension,Wheelbase,Compression,Fuel control,Color options,Starter,Comments,Engine details,Dry weight,Clutch
NSU 3 1-2 PS,1914,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",5.5 HP (4.0  kW)) @ 2200 RPM,70.0 km/h (43.5 mph),85.0 x 88.0 mm (3.3 x 3.5 inches),Carburettor,Air,Belt   (final drive),Steel tube,2.25-26 ,2.25-26 ,Single ,80.0 kg (176.4 pounds),,,,,,,,,,,,,,
Sears DeLuxe,1914,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,575.0 ccm (35.09 cubic inches),"Single cylinder, four-stroke",,80.0 km/h (49.7 mph),88.9 x 93.2 mm (3.5 x 3.7 inches),Carburettor. Schebler,,Chain   (final drive),,,,Single spring-mounted,,Magneto Bosch,Trailing link,Spoked,,,,,,,,,,,
Yale Model 37,1914,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1000.0 ccm (61.02 cubic inches),"V2, four-stroke",,115.0 km/h (71.5 mph),,Carburettor,,Chain   (final drive),,,,Two single seats,,,,Spoked,,,,,,,,,,,
Pope Model L,1914,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,998.0 ccm (60.90 cubic inches),"V2, four-stroke",,105.0 km/h (65.2 mph),85.0 x 89.0 mm (3.3 x 3.5 inches),Carburettor,,Chain   (final drive),,3-28 ,3-28 ,,,Magneto Bosch,Leaf spring,Spoked,3-speed,Coil springs,1429 mm (56.3 inches),,,,,,,,
Joerns Motor Cyclone,1914,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,996.0 ccm (60.78 cubic inches),"V2, four-stroke",45.0 HP (32.8  kW)),160.9 km/h (100.0 mph),94.0 x 69.0 mm (3.7 x 2.7 inches),Carburettor,,Chain   (final drive),,,,Bicycle seat,,,,Spoked bicycle wheels,,,,5.5:1,Single Overhead Cams (SOHC),"Yellow, dark blue, green, orange",Kick,"Joerns Motor Manufacturing Company was a US manufacturer. About 300 Cyclones were hade. In 2015, a Cyclone Board Track Racer  was sold for US Dollars 852,000 at auction. It was the highest price paid for a motorcycle at auction at that time.",,,
Pierce Four ,1914,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,696.0 ccm (42.47 cubic inches),"In-line three, four-stroke",,96.6 km/h (60.0 mph),63.5 x 63.5 mm (2.5 x 2.5 inches),,,Shaft drive (cardan)   (final drive),,,,,,,Leading link ,,,Rigid,,,,,,,T head inline 4 with copression release,124.7 kg (275.0 pounds),
Excelsior 7-C,1914,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,999.7 ccm (61.00 cubic inches),"V2, two-stroke",,,,Carburettor. Schebler,,Chain   (final drive),,,,Spring-mounted seat,,,Trailing link-leaf spring,,3-speed,Rigid,,,Overhead Valves (OHV),,,,,124.7 kg (275.0 pounds),Single speed
Reading Standard R-S,1914,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,999.7 ccm (61.00 cubic inches),"V2, four-stroke",,,,Carburettor. Schebler,,Chain   (final drive),,,,Solo seat with springs,,,Leading link ,,,Rigid,,,Sidevalves,,,,,147.4 kg (325.0 pounds),Single speed
Ariel 3.5 HP,1914,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",,,,Carburettor,Air,Belt   (final drive),Bicycle frame,,,Single seat with springs,,,,Wire spoked bicycle wheels,3-speed,,,,,Black,Kick,,,,
Schickel Big 5,1914,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,648.0 ccm (39.54 cubic inches),"Single cylinder, two-stroke",,,,,,Belt   (final drive),,,,,,,Trailing link with coil springs,,,Rigid,,,,,,,,,Single speed
Emblem Emblem,1914,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,38.0 ccm (2.32 cubic inches),"Single cylinder, four-stroke",,,,Carburettor. Emblem,,Belt   (final drive),,,,Spring-mounted seat,,Magneto Hertz or three batteries,Leading link -coil springs,,,Rigid,,,,,,All Emblems could be fitted with batteries or Hertz magneto.,Atmospheric intake-side exhaust,,
