Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Cooling system,Gearbox,Transmission type,Front brakes,Rear brakes,Dry weight,Power/weight ratio,Wheelbase,Fuel capacity,Torque,0-100 km/h (0-62 mph),"60-140 km/h (37-87 mph), highest gear",Compression,Bore x stroke,Fuel consumption,Greenhouse gases,Front wheel travel,Rear wheel travel,Front tire,Rear tire,Diameter,"Weight incl. oil, gas, etc",Front percentage of weight,Seat height,Starter,Comments,Valves per cylinder,Fuel system,Alternate seat height,Fuel control,Ignition,Rake (fork angle),Trail,Front suspension,Rear suspension,Oil capacity,Engine oil,Brake fluid,Coolant,Spark plugs,Idle speed,Tire pressure front,Tire pressure rear,Fork tube size,Frame type,Color options,Lubrication system,Clutch,Driveline,Overall length,Ground clearance,Electrical,Chain links,Sprockets,Max RPM,Overall height,Overall width,Reserve fuel capacity,Exhaust system,Modifications compared to previous model,1/4 mile (0.4 km),Engine details,Emission details,Carrying capacity,Rear percentage of weight,Wheels,Oil filter,Battery,Belt teeth,Belt width,Pulley teeth
Suzuki GSX 750 F Katana,1999,Sport touring," 3.3  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",750.0 ccm (45.77 cubic inches),"In-line four, four-stroke",93.0 HP (67.9  kW)) @ 10500 RPM,220.0 km/h (136.7 mph),Air,6-speed,Chain   (final drive),Dual disc,Single disc,211.0 kg (465.2 pounds),0.4408 HP/kg,1465 mm (57.7 inches),20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norton C 652 SM International,1999,Classic," 2.4  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",652.0 ccm (39.79 cubic inches),"Single cylinder, four-stroke",48.0 HP (35.0  kW)) @ 6500 RPM,175.0 km/h (108.7 mph),Liquid,5-speed,Chain   (final drive),Single disc,Single disc,,,1380 mm (54.3 inches),20.00 litres (5.28 US gallons),57.0 Nm (5.8 kgf-m or 42.0 ft.lbs) @ 5200 RPM,5.60 seconds,18.00 seconds,9.7:1,100.0 x 83.0 mm (3.9 x 3.3 inches),5.80 litres/100 km (17.2 km/l or 40.56 mpg),134.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,110 mm (4.3 inches),120 mm (4.7 inches),110/70-17 ,130/70-17 ,200 mm (7.9 inches),171.0 kg (377.0 pounds),49.1,"830 mm (32.7 inches) If adjustable, lowest setting.",Electric,This bike uses the same engine as the BMW F650.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson XL 53 C Sportster Custom,1999,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",883.0 ccm (53.88 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 6000 RPM,155.0 km/h (96.3 mph),Air,5-speed,Belt   (final drive),Single disc,Single disc,235.0 kg (518.1 pounds),0.2128 HP/kg,1524 mm (60.0 inches),12.50 litres (3.30 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSF 600 Bandit,1999,Naked bike," 3.6  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",78.0 HP (56.9  kW)) @ 10500 RPM,193.0 km/h (119.9 mph),Oil & air,6-speed,Chain   (final drive),Dual disc,Single disc,,,1430 mm (56.3 inches),19.00 litres (5.02 US gallons),54.0 Nm (5.5 kgf-m or 39.8 ft.lbs) @ 9500 RPM,4.10 seconds,15.40 seconds,11.3:1,62.6 x 48.7 mm (2.5 x 1.9 inches),6.60 litres/100 km (15.2 km/l or 35.64 mpg),153.1 CO2 g/km. (CO2 - Carbon dioxide emission) ,130 mm (5.1 inches),121 mm (4.8 inches),110/70-ZR17 ,150/70-ZR17 ,240 mm (9.4 inches),223.0 kg (491.6 pounds),,"830 mm (32.7 inches) If adjustable, lowest setting.",Electric,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VTR 1000 F,1999,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",996.0 ccm (60.78 cubic inches),"V2, four-stroke",110.0 HP (80.3  kW)) @ 9000 RPM,239.0 km/h (148.5 mph),Liquid,6-speed,Chain   (final drive),Dual disc,Single disc,,,1430 mm (56.3 inches),16.00 litres (4.23 US gallons),96.0 Nm (9.8 kgf-m or 70.8 ft.lbs) @ 7000 RPM,3.10 seconds,9.40 seconds,9.4:1,98.0 x 66.0 mm (3.9 x 2.6 inches),6.90 litres/100 km (14.5 km/l or 34.09 mpg),160.1 CO2 g/km. (CO2 - Carbon dioxide emission) ,109 mm (4.3 inches),124 mm (4.9 inches),120/70-ZR17 ,180/55-ZR17 ,220 mm (8.7 inches),217.0 kg (478.4 pounds),47.1,"820 mm (32.3 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki Marauder 125,1999,Custom / cruiser," 3.3  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",10.0 HP (7.3  kW)) @ 9000 RPM,101.0 km/h (62.8 mph),Air,5-speed,Chain   (final drive),Single disc,Expanding brake,,,1450 mm (57.1 inches),14.00 litres (3.70 US gallons),8.3 Nm (0.8 kgf-m or 6.1 ft.lbs) @ 7500 RPM,,,9.5:1,57.0 x 48.8 mm (2.2 x 1.9 inches),3.20 litres/100 km (31.3 km/l or 73.51 mpg),74.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,120 mm (4.7 inches),90 mm (3.5 inches),110/90-16 ,130/90-15 ,130 mm (5.1 inches),139.0 kg (306.4 pounds),,"680 mm (26.8 inches) If adjustable, lowest setting.",Electric,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 1100 RS,1999,Sport touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1185.0 ccm (72.31 cubic inches),"Two cylinder boxer, four-stroke",90.0 HP (65.7  kW)) @ 7300 RPM,217.0 km/h (134.8 mph),Oil & air,5-speed,Shaft drive (cardan)   (final drive),Dual disc,Single disc,,,1473 mm (58.0 inches),23.00 litres (6.08 US gallons),95.0 Nm (9.7 kgf-m or 70.1 ft.lbs) @ 5500 RPM,4.20 seconds,11.80 seconds,10.7:1,99.0 x 70.5 mm (3.9 x 2.8 inches),6.50 litres/100 km (15.4 km/l or 36.19 mpg),150.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,120 mm (4.7 inches),135 mm (5.3 inches),120/70-ZR17 ,160/60-ZR18 ,285 mm (11.2 inches),242.0 kg (533.5 pounds),47.7,"780 mm (30.7 inches) If adjustable, lowest setting.",Electric,,4,Injection,"820 mm (32.3 inches) If adjustable, highest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 1100 S,1999,Sport touring," 4.0  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1085.0 ccm (66.21 cubic inches),"Two cylinder boxer, four-stroke",98.0 HP (71.5  kW)) @ 7500 RPM,220.0 km/h (136.7 mph),Oil & air,6-speed,Shaft drive (cardan)   (final drive),Dual disc,Single disc,,,1478 mm (58.2 inches),18.00 litres (4.76 US gallons),97.0 Nm (9.9 kgf-m or 71.5 ft.lbs) @ 5750 RPM,3.70 seconds,10.20 seconds,11.3:1,99.0 x 70.5 mm (3.9 x 2.8 inches),6.40 litres/100 km (15.6 km/l or 36.75 mpg),148.5 CO2 g/km. (CO2 - Carbon dioxide emission) ,110 mm (4.3 inches),130 mm (5.1 inches),120/70-ZR17 ,170/60-ZR17 ,276 mm (10.9 inches),236.0 kg (520.3 pounds),50.6,"800 mm (31.5 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson XLH Sportster 883 Hugger,1999,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",883.0 ccm (53.88 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 6000 RPM,155.0 km/h (96.3 mph),Air,5-speed,Belt   (final drive),Single disc,Single disc,230.0 kg (507.1 pounds),0.2174 HP/kg,1498 mm (59.0 inches),12.50 litres (3.30 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX-R 600,1999,Sport," 3.9  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",600.0 ccm (36.61 cubic inches),"In-line four, four-stroke",106.0 HP (77.4  kW)) @ 11800 RPM,239.0 km/h (148.5 mph),Liquid,6-speed,Chain   (final drive),Dual disc,Single disc,,,1390 mm (54.7 inches),18.00 litres (4.76 US gallons),68.0 Nm (6.9 kgf-m or 50.2 ft.lbs) @ 9500 RPM,3.10 seconds,10.60 seconds,12.0:1,65.5 x 44.5 mm (2.6 x 1.8 inches),6.40 litres/100 km (15.6 km/l or 36.75 mpg),148.5 CO2 g/km. (CO2 - Carbon dioxide emission) ,120 mm (4.7 inches),130 mm (5.1 inches),120/70-ZR17 ,180/55-ZR17 ,220 mm (8.7 inches),201.0 kg (443.1 pounds),50.1,"810 mm (31.9 inches) If adjustable, lowest setting.",Electric,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
