Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Bore x stroke,Fuel system,Cooling system,Transmission type,Frame type,Front tire,Rear tire,Wheels,Seat,"Weight incl. oil, gas, etc",Fuel capacity,Engine details,Ignition,Front suspension,Rear suspension,Comments,Dry weight,Power/weight ratio,Front brakes,Rear brakes,Gearbox,Clutch,Color options,Starter,Light,Carrying capacity,Fuel control
NSU 3 1-2 PS,1912,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",5.5 HP (4.0  kW)) @ 2200 RPM,70.0 km/h (43.5 mph),85.0 x 88.0 mm (3.3 x 3.5 inches),Carburettor,Air,Belt   (final drive),Steel tube,2.25-26 ,2.25-26 ,Balloon tire,Single ,80.0 kg (176.4 pounds),9.00 litres (2.38 US gallons),,,,,,,,,,,,,,,,
Emblem Emblem,1912,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,38.0 ccm (2.32 cubic inches),"Single cylinder, four-stroke",,,,Carburettor. Emblem,,Belt   (final drive),,,,,Spring-mounted seat,,,Atmospheric intake-side exhaust,Magneto Hertz or three batteries,Leading link -coil springs,Rigid,All Emblems could be fitted with batteries or Hertz magneto.,,,,,,,,,,,
Harley-Davidson Model X8A,1912,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,491.6 ccm (30.00 cubic inches),"Single cylinder, four-stroke",,,,Carburettor. Schebler,,,,,,,Spring-mounted seat,,,Atmospheric intake-sode exhaust,Magento,Leading link -coil springs,Rigid-,,117.9 kg (260.0 pounds),,,,,,,,,,
Indian Single,1912,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,491.6 ccm (30.00 cubic inches),"Single cylinder, four-stroke",,,,Carburettor. Schriver,,Chain   (final drive),,,,,,,,Overhead intake-side exhaust,,Trailing link-leaf spring,Swingarm-leaf springs,,,,,,,,,,,,
Flying Merkel W.S,1912,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,500.0 ccm (30.51 cubic inches),"Single cylinder, four-stroke",,,,Carburettor,,Chain   (final drive),,,,,Single Seat,,,,,,,,,,,,,,,,,,
Indian Roadster ,1912,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,633.0 ccm (38.63 cubic inches),"V2, four-stroke",,89.0 km/h (55.3 mph),,Carburettor,,Chain   (final drive),,,,Spoked,Single spring-mounted,,,,,,,,,,,,,,,,,,
NSU Neckarsulmer 1 1-2,1912,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,243.0 ccm (14.83 cubic inches),"Single cylinder, four-stroke",2.9 HP (2.1  kW)) @ 2000 RPM,45.0 km/h (28.0 mph),63.0 x 78.0 mm (2.5 x 3.1 inches),Carburettor,Air,Belt   (final drive),Steel tube,1.75-26 ,1.75-26 ,Balloon tire,Single ,,4.00 litres (1.06 US gallons),,,,,,40.0 kg (88.2 pounds),0.0725 HP/kg,,,,,,,,,
Sears DeLuxe,1912,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,575.0 ccm (35.09 cubic inches),"Single cylinder, four-stroke",,80.0 km/h (49.7 mph),88.9 x 93.2 mm (3.5 x 3.7 inches),Carburettor. Schebler,,Chain   (final drive),,,,Spoked,Single spring-mounted,,,,Magneto Bosch,Trailing link,,,,,,,,,,,,,
Pierce Four ,1912,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,696.0 ccm (42.47 cubic inches),"In-line three, four-stroke",,96.6 km/h (60.0 mph),63.5 x 63.5 mm (2.5 x 2.5 inches),,,Shaft drive (cardan)   (final drive),3.5 inch tubing,,,,Single seat,,,T head inline 4 with copression release,,Leading link ,Rigid,,124.7 kg (275.0 pounds),,,,,,,,,,
Henderson 7 HP Four,1912,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,934.0 ccm (56.99 cubic inches),"In-line four, two-stroke",,97.0 km/h (60.3 mph),,Carburettor,,Chain   (final drive),,,,Spoked,Single spring-mounted,,,,,,,,,,Expanding brake (drum brake),Expanding brake (drum brake),,,,,,,
Lea Francis 3.25 Hp,1912,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,430.0 ccm (26.24 cubic inches),"V2, two-stroke",3.3 HP (2.4  kW)),,,Carburettor,,Belt   (final drive),Bicycle frame,,,Rim brakes on both wheels,,,,JAP 50-degree V-twin engine,,Girder-style sprung forks,,British company.,99.8 kg (220.0 pounds),0.0326 HP/kg,,,2-speed,Plate,Black/red,Kick,Miller acetylene headlight,Luggage carrier with leather panniers,
Harley-Davidson Model X8,1912,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,494.0 ccm (30.14 cubic inches),"Single cylinder, four-stroke",,56.0 km/h (34.8 mph),,Carburettor,,Belt   (final drive),,,,Spoked,Single spring-mounted,,,,,,,,,,,,,,,,,,
Excelsior Single,1912,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,491.6 ccm (30.00 cubic inches),"Single cylinder, two-stroke",,,,,,Belt   (final drive),,,,,,,,,,,,,,,,,,,,,,,Overhead Valves (OHV)
