Model,Year,Category,Rating,Displacement,Engine type,Engine details,Power,Bore x stroke,Valves per cylinder,Fuel system,Fuel control,Cooling system,Gearbox,Transmission type,Clutch,Frame type,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Front brakes,Diameter,Rear brakes,Dry weight,"Weight incl. oil, gas, etc",Power/weight ratio,Seat height,Ground clearance,Wheelbase,Fuel capacity,Color options,Starter,Comments,Compression,Ignition,Fuel consumption,Greenhouse gases,Emission details,Rake (fork angle),Trail,Front tire,Rear tire,Wheels,Reserve fuel capacity,Torque,Lubrication system,Driveline,Overall height,Overall length,Overall width,Factory warranty,Carrying capacity,Top speed,Instruments,Light,Electrical,Seat,Exhaust system,Oil capacity,Alternate seat height,Max RPM,Modifications compared to previous model,0-100 km/h (0-62 mph),Engine oil,Oil filter,Brake fluid,Coolant,Battery,Spark plugs,Idle speed,Chain size,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,Pulley teeth,1/4 mile (0.4 km),Belt teeth,Belt width
KTM 1290 Super Duke GT,2017,Naked bike," 3.8  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1301.0 ccm (79.39 cubic inches),"V2, four-stroke",75° V arrangement,173.0 HP (126.3  kW)),108.0 x 71.0 mm (4.3 x 2.8 inches),4,Injection,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),PASC anti-hopping clutch/ hydraulically operated ,"Tubular space frame made from chrome molybdenum steel, powder-coated ",WP Semi-active suspension USD Ø 48 mm,125 mm (4.9 inches),WP Semi-active suspension monoshock,156 mm (6.1 inches),Double disc. ABS. Radially mounted four-piston brake calipers. ,240 mm (9.4 inches),Single disc. ABS. Two-piston brake caliper. fixed brake disc ,205.0 kg (451.9 pounds),228.0 kg (502.7 pounds),0.8439 HP/kg,"835 mm (32.9 inches) If adjustable, lowest setting.",140 mm (5.5 inches),1482 mm (58.3 inches),22.00 litres (5.81 US gallons),Silver/orange,Electric,Windscreen. Traction Control. Ride-by-wire.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda Shadow Phantom,2017,Custom / cruiser," 3.2  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",745.0 ccm (45.46 cubic inches),"V2, four-stroke",52 degrees V-twin,,79.0 x 76.0 mm (3.1 x 3.0 inches),3,"Injection. PGM-FI with automatic enrichment circuit, one 34mm throttle body",Single Overhead Cams (SOHC),Liquid,5-speed,Shaft drive (cardan)   (final drive),,,41mm fork,117 mm (4.6 inches),Dual shocks with five-position spring-preload adjustability,89 mm (3.5 inches),Double disc. Two-piston calipers. ,296 mm (11.7 inches),Expanding brake (drum brake),,249.0 kg (549.0 pounds),,"655 mm (25.8 inches) If adjustable, lowest setting.",,1641 mm (64.6 inches),14.00 litres (3.70 US gallons),Matte Black Metallic,Electric,Model ID: VT750C2B.,9.6:1,"Digital with 3-D mapping, two spark plugs per cylinder",4.20 litres/100 km (23.8 km/l or 56.00 mpg),97.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,Meets current EPA standards. California version meets current California Air Resources Board (CARB) standards and may differ slightly due to emissions equipment.,34.0°,161 mm (6.3 inches),120/90-17 ,160/80-15 ,Spoked wheels,3.41 litres (0.90 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XT1200Z Super Tenere,2017,Super motard," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",1199.0 ccm (73.16 cubic inches),"Twin, four-stroke",,112.0 HP (81.8  kW)) @ 7500 RPM,98.0 x 79.5 mm (3.9 x 3.1 inches),4,Injection. Fuel Injection with YCC-T,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Shaft drive (cardan)   (final drive),,Steel tube backbone,"Telescopic fork, 43mm tube, adjustable preload, compression and rebound damping, 7.5-in travel",191 mm (7.5 inches),"Monoshock, adjustable preload and rebound damping, 7.5-in of travel",191 mm (7.5 inches),Double disc. ABS. Hydraulic. ,282 mm (11.1 inches),Single disc,,257.0 kg (566.6 pounds),,"846 mm (33.3 inches) If adjustable, lowest setting.",190 mm (7.5 inches),1539 mm (60.6 inches),23.09 litres (6.10 US gallons),"Blue, Black",Electric,Windshield. ,11.0:1,TCI: Transistor Controlled Ignition,5.47 litres/100 km (18.3 km/l or 43.00 mpg),126.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,,28.0°,126 mm (5.0 inches),110/80-R19 ,150/70-R17 ,,,117.0 Nm (11.9 kgf-m or 86.3 ft.lbs) @ 6000 RPM,Dry sump,Constant mesh,1410 mm (55.5 inches),2256 mm (88.8 inches),980 mm (38.6 inches),1 Year Limited Factory Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda FourTrax Foreman Rubicon 4x4 EPS,2017,ATV,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",,,92.0 x 71.5 mm (3.6 x 2.8 inches),,Injection. PGM-FI,Overhead Valves (OHV),Liquid,5-speed,Shaft drive (cardan)   (final drive),Automatic,,Independent double-wishbone,170 mm (6.7 inches),Independent dual-arm,215 mm (8.5 inches),Single disc,170 mm (6.7 inches),Single disc,313.0 kg (690.0 pounds),,,"861 mm (33.9 inches) If adjustable, lowest setting.",191 mm (7.5 inches),1285 mm (50.6 inches),15.14 litres (4.00 US gallons),"Red, Active Yellow, Olive",Electric & kick,Model ID: TRX500FM6. ,, 	Full transistorized ignition ,,,Meets current California Air Resources Board (CARB) off-road emissions standards.,,,25/8-12 ,25/8-12 ,,4.92 litres (1.30 US gallons),,Dry sump,Direct front and rear driveshafts with TraxLok® and torque-sensitive front differential,1179 mm (46.4 inches),2108 mm (83.0 inches),1189 mm (46.8 inches),One year. Unlimited milage. Transferable.,Front and rear rack,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vyrus 984 C3 2V,2017,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1078.0 ccm (65.78 cubic inches),"V2, four-stroke",Ducati 90 degree L-twin,100.0 HP (73.0  kW)),98.0 x 71.5 mm (3.9 x 2.8 inches),2,Injection. EFI,Desmodromic valve control,Air,6-speed,Chain   (final drive),Anti-slippery clutch APTC Vyrus,Double omega design,Progressive link Vyrus Mupo suspension fully adjustable,,Direct System Vyrus Mupo suspension fully adjustable,,Double disc. Carbon fibre Braketech Vyrus discs,210 mm (8.3 inches),Double disc. Carbon fibre Braketech Vyrus discs,158.0 kg (348.3 pounds),171.0 kg (377.0 pounds),0.6329 HP/kg,,,1395 mm (54.9 inches),16.00 litres (4.23 US gallons),"Black, custom colors",Electric,Italian custom brand. Several carbon fibre options.,11.3:1,CDI,,,,24.0°,106 mm (4.2 inches),120/75-ZR17 ,180/50-ZR17 ,Forged magnesium or carbon fibre,,,Forced by pump at gear,,,,,,,232.0 km/h (144.2 mph),Analogue/digital,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Ninja H2,2017,Sport," 3.1  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",998.0 ccm (60.90 cubic inches),"In-line four, four-stroke",Kawasaki supercharger intake system,200.0 HP (146.0  kW)) @ 11000 RPM,76.0 x 55.0 mm (3.0 x 2.2 inches),4,Injection,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),"Wet multi-disc, manual","Trellis, high-tensile steel with Swingarm Mounting Plate","43 mm inverted fork with rebound and compression damping, spring preload adjustability and top-out springs",119 mm (4.7 inches),"Uni-Trak, Öhlins TTX36 gas-charged shock with piggyback reservoir, compression damping, rebound damping, preload adjustability and top-out spring",135 mm (5.3 inches),Double disc. Floating discs. ,250 mm (9.8 inches),Single disc,,238.1 kg (524.8 pounds),,"825 mm (32.5 inches) If adjustable, lowest setting.",130 mm (5.1 inches),1455 mm (57.3 inches),17.00 litres (4.49 US gallons),Mirror Coated Spark Black,Electric,154.5 kW (210 PS) at 11.000 rpm with RAM air.,8.5:1,Digital,8.53 litres/100 km (11.7 km/l or 27.58 mpg),197.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,,27.0°,103 mm (4.1 inches),120/70-ZR17 ,200/55-ZR17 ,,,133.5 Nm (13.6 kgf-m or 98.5 ft.lbs) @ 10500 RPM,"Forced lubrication, wet sump with oil cooler",Sealed chain,1125 mm (44.3 inches),2085 mm (82.1 inches),770 mm (30.3 inches),12 month Limited Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husqvarna FC 450,2017,Cross / motocross," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",449.3 ccm (27.42 cubic inches),"Single cylinder, four-stroke",,63.0 HP (46.0  kW)),95.0 x 63.4 mm (3.7 x 2.5 inches),,,Single Overhead Cams (SOHC),Liquid,5-speed,Chain   (final drive),"Wet, multi-disc clutch, Magura hydraulics",25CrMo4 steel central-tube,"WP-USD, AER 48, Ø 48 mm",310 mm (12.2 inches),WP shock absorber with linkage,300 mm (11.8 inches),Single disc. Brembo twin-piston floating calliper,200 mm (7.9 inches),Single disc. Brembo single-piston floating calliper,101.2 kg (223.1 pounds),,0.6225 HP/kg,"960 mm (37.8 inches) If adjustable, lowest setting.",370 mm (14.6 inches),1485 mm (58.5 inches),7.00 litres (1.85 US gallons),Blue/yellow/white,Electric,,,Keihin EMS,,,,26.5°,,90/90-21 ,140/90-18 ,,,,,520 X-Ring chain,,,,2 Years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCR Macchia Nera Concept,2017,Prototype / concept model,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,998.0 ccm (60.90 cubic inches),"V2, four-stroke",Ducati Testastretta 998R engine,185.0 HP (135.0  kW)),,4,Injection. EFI,,Liquid,6-speed,Chain   (final drive),,Carbon fibre and titanium,Cerchi Marvic,,Ohlins monoshock,,Double disc. Brembo,305 mm (12.0 inches),Single disc. Brembo,135.0 kg (297.6 pounds),,1.3704 HP/kg,,,1400 mm (55.1 inches),,Black/white/beige/gold,Electric,,,,,,,,,120/70-R17 ,190/55-R17 ,"Black, 5-spoke",,,,,,,,,,,,No lights,,,,,,,,,,,,,,,,,,,,,,,,,
Clipic HIT3 Replica,2017,Trial,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.9 ccm (3.04 cubic inches),"Single cylinder, two-stroke",,,,,Carburettor,,Air,Automatic,Chain   (final drive),Centrifugal,Steel.,Telescopic fork,,Monoshock,,Expanding brake (drum brake),,Expanding brake (drum brake),38.0 kg (83.8 pounds),,,"533 mm (21.0 inches) If adjustable, lowest setting.",,,1.00 litres (0.26 US gallons),Red,Kick,Spanish brand,,By flywheel,,,,,,2.50-16 ,2.75-14 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Vulcan  1700 Nomad,2017,Touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1700.0 ccm (103.73 cubic inches),"V2, four-stroke",52° V-twin ,73.0 HP (53.3  kW)) @ 5000 RPM,102.0 x 104.0 mm (4.0 x 4.1 inches),4,"Injection. Digital fuel injection, dual 42mm throttle bodies",Single Overhead Cams (SOHC),Liquid,6-speed,Belt   (final drive),Wet multi-disc,"Steel, double-cradle with box-section single-tube backbone",43mm hydraulic fork ,140 mm (5.5 inches),"Swingarm with twin air-assisted shocks, with 4-way rebound damping ",80 mm (3.1 inches),Double disc. Two-piston calipers. ABS.,300 mm (11.8 inches),Single disc. ABS,,382.0 kg (842.2 pounds),,"730 mm (28.7 inches) If adjustable, lowest setting.",140 mm (5.5 inches),1666 mm (65.6 inches),20.06 litres (5.30 US gallons),Metallic Titanium/Metallic Spark Black,Electric,Windscreen.,9.5:1,,,,,30.0°,178 mm (7.0 inches),130/90-B16 ,170/70-B16 ,,,146.5 Nm (14.9 kgf-m or 108.0 ft.lbs) @ 2750 RPM,"Forced lubrication, semi-dry sump",,1466 mm (57.7 inches),2499 mm (98.4 inches),1026 mm (40.4 inches),24 months,Saddle bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,
